Id,Label,Cat
1400,1400,annee
1401,1401,annee
1402,1402,annee
1403,1403,annee
1404,1404,annee
1405,1405,annee
1406,1406,annee
1407,1407,annee
1408,1408,annee
1409,1409,annee
1410,1410,annee
1411,1411,annee
1412,1412,annee
1413,1413,annee
1414,1414,annee
1415,1415,annee
1416,1416,annee
1417,1417,annee
1418,1418,annee
1419,1419,annee
1420,1420,annee
1421,1421,annee
1422,1422,annee
1423,1423,annee
1424,1424,annee
1425,1425,annee
1426,1426,annee
1427,1427,annee
1428,1428,annee
1429,1429,annee
1430,1430,annee
1431,1431,annee
1432,1432,annee
1433,1433,annee
1434,1434,annee
1435,1435,annee
1436,1436,annee
1437,1437,annee
1438,1438,annee
1439,1439,annee
1440,1440,annee
1441,1441,annee
1442,1442,annee
1443,1443,annee
1444,1444,annee
1445,1445,annee
1446,1446,annee
1447,1447,annee
1448,1448,annee
1449,1449,annee
1450,1450,annee
1451,1451,annee
1452,1452,annee
1453,1453,annee
1454,1454,annee
1455,1455,annee
1456,1456,annee
1457,1457,annee
1458,1458,annee
1459,1459,annee
1460,1460,annee
1461,1461,annee
1462,1462,annee
1463,1463,annee
1464,1464,annee
1465,1465,annee
1466,1466,annee
1467,1467,annee
1468,1468,annee
1469,1469,annee
1470,1470,annee
1471,1471,annee
1472,1472,annee
1473,1473,annee
1474,1474,annee
1475,1475,annee
1476,1476,annee
1477,1477,annee
1478,1478,annee
1479,1479,annee
1480,1480,annee
1481,1481,annee
1482,1482,annee
1483,1483,annee
1484,1484,annee
1485,1485,annee
1486,1486,annee
1487,1487,annee
1488,1488,annee
1489,1489,annee
1490,1490,annee
1491,1491,annee
1492,1492,annee
1493,1493,annee
1494,1494,annee
1495,1495,annee
1496,1496,annee
1497,1497,annee
1498,1498,annee
1499,1499,annee
aves_aa_4R_auth_0001,"metziger, wilhelm",personne
aves_aa_4R_auth_0002,"colmar, von, hannemann",personne
aves_aa_4R_auth_0003,,personne
aves_aa_4R_auth_0004,"rotschilt, wilhelm",personne
aves_aa_4R_auth_0005,"spielmann, claus",personne
aves_aa_4R_auth_0006,"schott, claus",personne
aves_aa_4R_auth_0007,"issenhausen, ulrich",personne
aves_aa_4R_auth_0008,,personne
aves_aa_4R_auth_0009,"kindelin, erhart",personne
aves_aa_4R_auth_0010,,personne
aves_aa_4R_auth_0011,"gumbrecht, von, diebolt",personne
aves_aa_4R_auth_0012,"boppe, küntz",personne
aves_aa_4R_auth_0013,"tummeler, dietrich",personne
aves_aa_4R_auth_0014,"westermann, johanns",personne
aves_aa_4R_auth_0015,"heischer, lienhart",personne
aves_aa_4R_auth_0016,"laubeck, johanns",personne
aves_aa_4R_auth_0017,"honau, peter",personne
aves_aa_4R_auth_0018,"hühnerer, ulrich",personne
aves_aa_4R_auth_0019,"nattener, andres",personne
aves_aa_4R_auth_0020,"schwicker, johanns",personne
aves_aa_4R_auth_0021,,personne
aves_aa_4R_auth_0022,"gosse, ulrich",personne
aves_aa_4R_auth_0023,"ingenheim, von, claus",personne
aves_aa_4R_auth_0024,"diether, johanns",personne
aves_aa_4R_auth_0025,"dingsheim, claus",personne
aves_aa_4R_auth_0026,"hagenau, von, peter",personne
aves_aa_4R_auth_0027,"stachel, küntz",personne
aves_aa_4R_auth_0028,"klige, hug",personne
aves_aa_4R_auth_0029,"rhinau, walther",personne
aves_aa_4R_auth_0030,"sünner, peter",personne
aves_aa_4R_auth_0031,"barpfennig, ruhlemann",personne
aves_aa_4R_auth_0032,,personne
aves_aa_4R_auth_0033,"berse, von, wilhelm",personne
aves_aa_4R_auth_0034,"herbst, johanns",personne
aves_aa_4R_auth_0035,"langneffe, johanns",personne
aves_aa_4R_auth_0036,"hanseler, johanns",personne
aves_aa_4R_auth_0037,"kranich, heinrich",personne
aves_aa_4R_auth_0038,"gans, johanns",personne
aves_aa_4R_auth_0039,"trüchtersheim, von, eberhart",personne
aves_aa_4R_auth_0040,,personne
aves_aa_4R_auth_0041,"nellesheim, johanns",personne
aves_aa_4R_auth_0042,"seelose, heintz",personne
aves_aa_4R_auth_0043,"münch, ottemann",personne
aves_aa_4R_auth_0044,"beildeck, fritsch",personne
