Id,type,Label,corporation,betweenesscentrality,modularity_class,weighted degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality
aves_aa_4R_auth_0275,personne,"spete, johanns",corporation_des_jardiniers,0.069852,2,352,0.873993,3,0.571761,0.625847
aves_aa_4R_auth_0608,personne,"vendenheim, johanns",corporation_des_tanneurs,0.065344,3,361,0.62147,3,0.522016,0.589939
aves_aa_4R_auth_0082,personne,"geispoltzheim, von, jacob",corporation_des_boulangers,0.063818,1,538,1,3,0.574096,0.653117
aves_aa_4R_auth_0139,personne,"schanlit, claus",corporation_des_tonneliers,0.050048,0,447,0.912729,3,0.572426,0.640752
aves_aa_4R_auth_0589,personne,"baumgarter, claus",corporation_des_cabaretiers,0.046429,2,382,0.740654,3,0.52452,0.593496
aves_aa_4R_auth_0371,personne,"linzer, claus",corporation_des_boulangers,0.038742,2,360,0.902341,3,0.564544,0.623137
aves_aa_4R_auth_0385,personne,"lumbart, johanns",corporation_des_bateliers,0.037288,2,223,0.684865,3,0.54185,0.588415
aves_aa_4R_auth_0587,personne,"claus, johanns",corporation_des_charrons,0.030223,3,136,0.27618,3,0.483301,0.523374
aves_aa_4R_auth_0375,personne,"schalk, obrecht",corporation_des_bateliers,0.029365,2,448,0.908919,3,0.564544,0.628557
aves_aa_4R_auth_0131,personne,"melbrühe, claus",corporation_des_marchands_de_grains,0.025289,0,423,0.82905,4,0.532756,0.617124
aves_aa_4R_auth_0372,personne,"armbruster, konrat",corporation_des_drapiers,0.025055,1,393,0.891054,3,0.561323,0.623476
aves_aa_4R_auth_0763,personne,"ammelung, jacob",corporation_des_tonneliers,0.020577,3,368,0.507689,3,0.471264,0.553184
aves_aa_4R_auth_0028,personne,"klige, hug",corporation_des_constructeurs_de_bateaux,0.020008,0,279,0.604329,4,0.504615,0.577405
aves_aa_4R_auth_0133,personne,"lamb, johanns",corporation_des_pêcheurs,0.019103,0,196,0.535255,3,0.517895,0.569783
aves_aa_4R_auth_0057,personne,"bobst, lienhart",corporation_des_constructeurs_de_bateaux,0.019056,0,307,0.56479,4,0.510638,0.583926
aves_aa_4R_auth_0176,personne,"dreitzehn, hug",corporation_des_charrons,0.018838,0,369,0.753699,4,0.525641,0.605776
aves_aa_4R_auth_0031,personne,"barpfennig, ruhlemann",corporation_des_marchands,0.018374,0,336,0.621451,4,0.515994,0.589007
aves_aa_4R_auth_0157,personne,"schrotbanck, konrat",corporation_des_tailleurs,0.01636,0,168,0.506101,3,0.518714,0.561484
aves_aa_4R_auth_0022,personne,"gosse, ulrich",corporation_des_sauniers,0.015968,0,307,0.4807,4,0.491263,0.566988
aves_aa_4R_auth_0335,personne,fritsch,corporation_des_charpentiers,0.015741,1,252,0.674525,3,0.54185,0.588753
aves_aa_4R_auth_0357,personne,"trachenfeils, lienhart",corporation_des_sauniers,0.015303,1,337,0.778549,3,0.537999,0.599763
aves_aa_4R_auth_0250,personne,"bechtolt, johanns",corporation_des_bouchers,0.015283,0,309,0.660588,4,0.516535,0.58562
aves_aa_4R_auth_0332,personne,"trüchtersheim, von, ruhlemann",corporation_des_forgerons,0.01401,1,256,0.673124,3,0.533623,0.585705
aves_aa_4R_auth_0794,personne,"ganther, johanns",corporation_des_boulangers,0.012041,3,107,0.192861,3,0.43139,0.476118
aves_aa_4R_auth_0802,personne,"kerling, marx",corporation_des_bouchers,0.011594,3,297,0.4017,3,0.459169,0.527947
aves_aa_4R_auth_0553,personne,"spielmann, johanns",corporation_des_charrons,0.011153,2,234,0.575743,3,0.509053,0.559451
aves_aa_4R_auth_0234,personne,"saltzmütter, dietrich",corporation_des_sauniers,0.011047,0,167,0.497565,3,0.51981,0.559451
aves_aa_4R_auth_0318,personne,"dossenheim, hug",corporation_des_cabaretiers,0.010707,1,280,0.673455,3,0.525641,0.58164
aves_aa_4R_auth_0528,personne,"trachenfeils, johanns",corporation_des_sauniers,0.010313,2,332,0.707129,3,0.514644,0.577236
aves_aa_4R_auth_0629,personne,"riffe, konrat",corporation_des_marchands,0.009894,3,270,0.49251,3,0.472169,0.536585
aves_aa_4R_auth_0452,personne,"hettemann, johanns",corporation_des_constructeurs_de_bateaux,0.009819,1,281,0.697458,3,0.525922,0.581131
aves_aa_4R_auth_0554,personne,"schwencker, johanns",corporation_des_regrattiers_cordiers_et_fruitiers,0.009771,2,156,0.454012,3,0.495468,0.536585
aves_aa_4R_auth_0523,personne,"rippel, michel",corporation_des_charpentiers,0.009624,2,336,0.748639,3,0.518167,0.584519
