Source,Target,nature_lien,label
aves_aa_4R_auth_0001,1400,ammeister,"metziger, wilhelm"
aves_aa_4R_auth_0001,1402,conseiller,"metziger, wilhelm"
aves_aa_4R_auth_0001,1404,ammeister,"metziger, wilhelm"
aves_aa_4R_auth_0001,1406,ammeister,"metziger, wilhelm"
aves_aa_4R_auth_0001,1408,conseiller,"metziger, wilhelm"
aves_aa_4R_auth_0001,1410,conseiller,"metziger, wilhelm"
aves_aa_4R_auth_0002,1400,conseiller,"colmar, von, hannemann"
aves_aa_4R_auth_0003,1400,conseiller,"gerung, "
aves_aa_4R_auth_0004,1400,conseiller,"rotschilt, wilhelm"
aves_aa_4R_auth_0004,1425,conseiller,"rotschilt, wilhelm"
aves_aa_4R_auth_0005,1400,conseiller,"spielmann, claus"
aves_aa_4R_auth_0005,1406,conseiller,"spielmann, claus"
aves_aa_4R_auth_0005,1410,conseiller,"spielmann, claus"
aves_aa_4R_auth_0005,1418,conseiller,"spielmann, claus"
aves_aa_4R_auth_0005,1422,conseiller,"spielmann, claus"
aves_aa_4R_auth_0006,1400,conseiller,"schott, claus"
aves_aa_4R_auth_0007,1400,conseiller,"issenhausen, ulrich"
aves_aa_4R_auth_0007,1404,conseiller,"issenhausen, ulrich"
aves_aa_4R_auth_0007,1415,conseiller,"issenhausen, ulrich"
aves_aa_4R_auth_0007,1419,conseiller,"issenhausen, ulrich"
aves_aa_4R_auth_0008,1400,conseiller,", sigel"
aves_aa_4R_auth_0009,1400,conseiller,"kindelin, erhart"
aves_aa_4R_auth_0009,1404,conseiller,"kindelin, erhart"
aves_aa_4R_auth_0009,1421,conseiller,"kindelin, erhart"
aves_aa_4R_auth_0010,1400,conseiller,", andres"
aves_aa_4R_auth_0011,1400,conseiller,"gumbrecht, von, diebolt"
aves_aa_4R_auth_0012,1400,conseiller,"boppe, küntz"
aves_aa_4R_auth_0013,1400,conseiller,"tummeler, dietrich"
aves_aa_4R_auth_0014,1400,conseiller,"westermann, johanns"
aves_aa_4R_auth_0014,1402,conseiller,"westermann, johanns"
aves_aa_4R_auth_0015,1400,conseiller,"heischer, lienhart"
aves_aa_4R_auth_0015,1402,conseiller,"heischer, lienhart"
aves_aa_4R_auth_0015,1404,conseiller,"heischer, lienhart"
aves_aa_4R_auth_0016,1400,conseiller,"laubeck, johanns"
aves_aa_4R_auth_0016,1405,conseiller,"laubeck, johanns"
aves_aa_4R_auth_0016,1408,conseiller,"laubeck, johanns"
aves_aa_4R_auth_0016,1411,conseiller,"laubeck, johanns"
