Source,Target,nature_lien,label
aves_aa_4R_auth_0332,1450,conseiller_des_forgerons,"trüchtersheim, von, ruhlemann"
aves_aa_4R_auth_0335,1450,conseiller_des_charpentiers,", fritsch"
aves_aa_4R_auth_0375,1450,ammeister,"schalk, obrecht"
aves_aa_4R_auth_0391,1450,conseiller_des_tailleurs,"rotgebe, jacob"
aves_aa_4R_auth_0436,1450,conseiller_des_barbiers_et_baigneurs,", johanns"
aves_aa_4R_auth_0453,1450,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"kempf, claus"
aves_aa_4R_auth_0528,1450,conseiller_des_sauniers,"trachenfeils, johanns"
aves_aa_4R_auth_0544,1450,conseiller_des_bouchers,"bechtolt, wilhelm"
aves_aa_4R_auth_0555,1450,conseiller_des_coltineurs_de_tonneaux,"dürningen, von, sigel"
aves_aa_4R_auth_0556,1450,conseiller_des_constructeurs_de_bateaux,"klige, küntz"
aves_aa_4R_auth_0557,1450,conseiller_des_marchands,"wormser, jacob"
aves_aa_4R_auth_0562,1450,conseiller_des_maçons,"zabern, von, sifrit"
aves_aa_4R_auth_0566,1450,conseiller_des_tisserands,"kork, von, peter"
aves_aa_4R_auth_0580,1450,conseiller_des_tonneliers,"holtzhauser, heintz"
aves_aa_4R_auth_0581,1450,conseiller_des_tanneurs,"minner, johanns"
aves_aa_4R_auth_0584,1450,conseiller_des_marchands_de_grains,"melbrühe, johanns"
aves_aa_4R_auth_0586,1450,conseiller_des_gourmets_et_courtiers,"seidenfaden, friedrich"
aves_aa_4R_auth_0588,1450,conseiller_des_regrattiers_cordiers_et_fruitiers,"gottfriet, fritsch"
aves_aa_4R_auth_0589,1450,conseiller_des_cabaretiers,"baumgarter, claus"
aves_aa_4R_auth_0611,1450,conseiller_des_pelletiers,"spirer, johanns"
aves_aa_4R_auth_0649,1450,conseiller_des_boulangers,"waldener, jacob"
aves_aa_4R_auth_0650,1450,conseiller_des_drapiers,"ackerfuss, claus"
aves_aa_4R_auth_0651,1450,conseiller_des_bateliers,"hage, jacob"
aves_aa_4R_auth_0652,1450,conseiller_des_crieurs_et_mesureurs_de_vin,"heiligenstein, von, anthenie"
aves_aa_4R_auth_0653,1450,conseiller_des_cordonniers,"joham, konrat"
aves_aa_4R_auth_0654,1450,conseiller_des_orfevres,"hertzog, johanns"
aves_aa_4R_auth_0655,1450,conseiller_des_jardiniers,"ersam, johanns"
aves_aa_4R_auth_0656,1450,conseiller_des_pêcheurs,"ammeler, ebelin"
aves_aa_4R_auth_0657,1450,conseiller_des_charrons,"voltz, johanns"
aves_aa_4R_auth_0371,1451,conseiller_des_boulangers,"linzer, claus"
aves_aa_4R_auth_0372,1451,conseiller_des_drapiers,"armbruster, konrat"
aves_aa_4R_auth_0501,1451,conseiller_des_tonneliers,"dingsheim, johanns"
aves_aa_4R_auth_0508,1451,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"freund, claus"
aves_aa_4R_auth_0514,1451,conseiller_des_pêcheurs,"diebolt, johanns"
aves_aa_4R_auth_0533,1451,conseiller_des_marchands,"böschwiller, claus"
aves_aa_4R_auth_0535,1451,ammeister,"meiger, heinrich"
aves_aa_4R_auth_0540,1451,conseiller_des_tisserands,"spiegel, johanns"
aves_aa_4R_auth_0541,1451,conseiller_des_gourmets_et_courtiers,"brant, diebolt"
aves_aa_4R_auth_0546,1451,conseiller_des_tailleurs,"zerig, sifrit"
aves_aa_4R_auth_0563,1451,conseiller_des_pelletiers,"spirer, diebolt"
aves_aa_4R_auth_0605,1451,conseiller_des_coltineurs_de_tonneaux,"förster, symont"
aves_aa_4R_auth_0608,1451,conseiller_des_tanneurs,"vendenheim, johanns"
aves_aa_4R_auth_0618,1451,conseiller_des_cabaretiers,"bisinger, heinrich"
aves_aa_4R_auth_0628,1451,conseiller_des_regrattiers_cordiers_et_fruitiers,"kiebel, ulrich"
aves_aa_4R_auth_0636,1451,conseiller_des_constructeurs_de_bateaux,"hettemann, diebolt"
aves_aa_4R_auth_0642,1451,conseiller_des_crieurs_et_mesureurs_de_vin,"bosterer, johanns"
aves_aa_4R_auth_0658,1451,conseiller_des_bouchers,"nüger, claus"
aves_aa_4R_auth_0659,1451,conseiller_des_maçons,"kacheler, johanns"
aves_aa_4R_auth_0660,1451,conseiller_des_forgerons,"holniet, johanns"
aves_aa_4R_auth_0661,1451,conseiller_des_bateliers,"doppeler, johanns-jerge"
aves_aa_4R_auth_0662,1451,conseiller_des_charpentiers,"münster, heinrich"
