Recid,subid,Unnamed: 0,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps_civique,corporation,poele,page,colonne,ligne,AuthNameForename,Length
aves_aa_4R_auth_0001,"['aves_aa_4R_1400_0005', 'aves_aa_4R_1402_0031', 'aves_aa_4R_1404_0005', 'aves_aa_4R_1406_0005', 'aves_aa_4R_1408_0032', 'aves_aa_4R_1410_0032']","[nan, nan, nan, nan, nan, nan]","[1400, 1402, 1404, 1406, 1408, 1410]","['ammeister', 'conseiller_des_bouchers', 'ammeister', 'ammeister', 'conseiller_des_bouchers', 'conseiller_des_bouchers']","['her Wilhelm Metziger der ammeister', 'her Wilhelm Metziger', 'her Wilhelm Metziger der ammeister', 'her Wilhelm Metziger der ammeister', 'her Wilhelm Metziger', 'her Wilhelm Metziger']","['wilhelm', 'wilhelm', 'wilhelm', 'wilhelm', 'wilhelm', 'wilhelm']","['metziger', 'metziger', 'metziger', 'metziger', 'metziger', 'metziger']","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[""['her', 'ammeister']"", ""['her']"", ""['her', 'ammeister']"", ""['her', 'ammeister']"", ""['her']"", ""['her']""]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","[nan, 'corporation_des_bouchers', nan, nan, 'corporation_des_bouchers', 'corporation_des_bouchers']","[nan, nan, nan, nan, nan, nan]","[131, 133, 135, 137, 139, 141]","[nan, nan, nan, nan, nan, nan]","[5, 31, 5, 5, 32, 32]","metziger, wilhelm",6
aves_aa_4R_auth_0002,['aves_aa_4R_1400_0030'],[nan],[1400],['conseiller_des_marchands'],['Hanman von Colmar'],['hannemann'],"['colmar, von']",[nan],[nan],[nan],['echevinat'],['corporation_des_marchands'],[nan],[131],[nan],[30],"colmar, von, hannemann",1
aves_aa_4R_auth_0003,['aves_aa_4R_1400_0031'],[nan],[1400],['conseiller_des_boulangers'],['Gerung inn Judengasse'],[''],['gerung'],"['judengasse, in']",[nan],[nan],['echevinat'],['corporation_des_boulangers'],[nan],[131],[nan],[31],"gerung, ",1
aves_aa_4R_auth_0004,"['aves_aa_4R_1400_0032', 'aves_aa_4R_1425_0019']","[nan, nan]","[1400, 1425]","['conseiller_des_bouchers', 'conseiller_des_bouchers']","['Wilhelm Rotschilt', 'Wilhelm Rotschilt']","['wilhelm', 'wilhelm']","['rotschilt', 'rotschilt']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_bouchers', 'corporation_des_bouchers']","[nan, nan]","[131, 156]","[nan, nan]","[32, 19]","rotschilt, wilhelm",2
aves_aa_4R_auth_0005,"['aves_aa_4R_1400_0033', 'aves_aa_4R_1406_0033', 'aves_aa_4R_1410_0033', 'aves_aa_4R_1418_0033', 'aves_aa_4R_1422_0020']","[nan, nan, nan, nan, nan]","[1400, 1406, 1410, 1418, 1422]","['conseiller_des_drapiers', 'conseiller_des_drapiers', 'conseiller_des_drapiers', 'conseiller_des_drapiers', 'conseiller_des_drapiers']","['Claus Spilman', 'Claus Spilman', 'Claus Spilman', 'Claus Spilman', 'Claus Spilman']","['claus', 'claus', 'claus', 'claus', 'claus']","['spielmann', 'spielmann', 'spielmann', 'spielmann', 'spielmann']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_drapiers', 'corporation_des_drapiers', 'corporation_des_drapiers', 'corporation_des_drapiers', 'corporation_des_drapiers']","[nan, nan, nan, nan, nan]","[131, 137, 141, 149, 153]","[nan, nan, nan, nan, nan]","[33, 33, 33, 33, 20]","spielmann, claus",5
aves_aa_4R_auth_0006,['aves_aa_4R_1400_0034'],[nan],[1400],['conseiller_des_tonneliers'],['Claus Schott'],['claus'],['schott'],[nan],[nan],[nan],['echevinat'],['corporation_des_tonneliers'],[nan],[131],[nan],[34],"schott, claus",1
aves_aa_4R_auth_0007,"['aves_aa_4R_1400_0035', 'aves_aa_4R_1404_0035', 'aves_aa_4R_1415_0034', 'aves_aa_4R_1419_0035']","[nan, nan, nan, nan]","[1400, 1404, 1415, 1419]","['conseiller_des_tanneurs', 'conseiller_des_tanneurs', 'conseiller_des_tanneurs', 'conseiller_des_tanneurs']","['Ülrich Isenhusen', 'Ülrich Isenhusen', 'U?lrich von Isenhusen', 'U?lrich von Isenhusen']","['ulrich', 'ulrich', 'ulrich', 'ulrich']","['issenhausen', 'issenhausen', 'issenhausen, von', 'issenhausen, von']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_tanneurs', 'corporation_des_tanneurs', 'corporation_des_tanneurs', 'corporation_des_tanneurs']","[nan, nan, nan, nan]","[131, 135, 146, 150]","[nan, nan, nan, nan]","[35, 35, 34, 35]","issenhausen, ulrich",4
aves_aa_4R_auth_0008,['aves_aa_4R_1400_0036'],[nan],[1400],['conseiller_des_cabaretiers'],['Sigel'],['sigel'],[''],[nan],[nan],[nan],['echevinat'],['corporation_des_cabaretiers'],[nan],[131],[nan],[36],", sigel",1
aves_aa_4R_auth_0009,"['aves_aa_4R_1400_0037', 'aves_aa_4R_1404_0037', 'aves_aa_4R_1421_0024']","[nan, nan, nan]","[1400, 1404, 1421]","['conseiller_des_maçons', 'conseiller_des_maçons', 'conseiller_des_maçons']","['Erhart Kindelin', 'Erhart Kindelin', 'Erhart Kindelin']","['erhart', 'erhart', 'erhart']","['kindelin', 'kindelin', 'kindelin']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['echevinat', 'echevinat', 'echevinat']","['corporation_des_maçons', 'corporation_des_maçons', 'corporation_des_maçons']","[nan, nan, nan]","[131, 135, 152]","[nan, nan, nan]","[37, 37, 24]","kindelin, erhart",3
aves_aa_4R_auth_0010,['aves_aa_4R_1400_0038'],[nan],[1400],['conseiller_des_forgerons'],['Andres am Rossmerckt'],['andres'],[''],"['rossmarkt, am']",[nan],[nan],['echevinat'],['corporation_des_forgerons'],[nan],[131],[nan],[1],", andres",1
aves_aa_4R_auth_0011,['aves_aa_4R_1400_0039'],[nan],[1400],['conseiller_des_tailleurs'],['Diebolt von Ginebreht'],['diebolt'],"['gumbrecht, von']",[nan],[nan],[nan],['echevinat'],['corporation_des_tailleurs'],[nan],[131],[nan],[2],"gumbrecht, von, diebolt",1
aves_aa_4R_auth_0012,['aves_aa_4R_1400_0040'],[nan],[1400],['conseiller_des_bateliers'],['Cüntz Boppe'],['küntz'],['boppe'],[nan],[nan],[nan],['echevinat'],['corporation_des_bateliers'],[nan],[131],[nan],[3],"boppe, küntz",1
aves_aa_4R_auth_0013,['aves_aa_4R_1400_0041'],[nan],[1400],['conseiller_des_charpentiers'],['Diethrich Tumeler'],['dietrich'],['tummeler'],[nan],[nan],[nan],['echevinat'],['corporation_des_charpentiers'],[nan],[131],[nan],[4],"tummeler, dietrich",1
aves_aa_4R_auth_0014,"['aves_aa_4R_1400_0042', 'aves_aa_4R_1402_0041']","[nan, nan]","[1400, 1402]","['conseiller_des_pelletiers', 'conseiller_des_pelletiers']","['Johanns Westerman', 'Johanns Westerman']","['johanns', 'johanns']","['westermann', 'westermann']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_pelletiers', 'corporation_des_pelletiers']","[nan, nan]","[131, 133]","[nan, nan]","[5, 4]","westermann, johanns",2
aves_aa_4R_auth_0015,"['aves_aa_4R_1400_0043', 'aves_aa_4R_1402_0042', 'aves_aa_4R_1404_0043']","[nan, nan, nan]","[1400, 1402, 1404]","['conseiller_des_crieurs_et_mesureurs_de_vin', 'conseiller_des_crieurs_et_mesureurs_de_vin', 'conseiller_des_crieurs_et_mesureurs_de_vin']","['Leonhart Heischer', 'Lienhart Heischer', 'Leonhart Heischer']","['lienhart', 'lienhart', 'lienhart']","['heischer', 'heischer', 'heischer']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['echevinat', 'echevinat', 'echevinat']","['corporation_des_crieurs_et_mesureurs_de_vin', 'corporation_des_crieurs_et_mesureurs_de_vin', 'corporation_des_crieurs_et_mesureurs_de_vin']","[nan, nan, nan]","[131, 133, 135]","[nan, nan, nan]","[6, 5, 3]","heischer, lienhart",3
aves_aa_4R_auth_0016,"['aves_aa_4R_1400_0044', 'aves_aa_4R_1405_0044', 'aves_aa_4R_1408_0044', 'aves_aa_4R_1411_0043']","[nan, nan, nan, nan]","[1400, 1405, 1408, 1411]","['conseiller_des_cordonniers', 'conseiller_des_cordonniers', 'conseiller_des_cordonniers', 'conseiller_des_cordonniers']","['Johanns Loubeck', 'Johanns Loubeck', 'Johanns Loubeck', 'Johanns Loubeck']","['johanns', 'johanns', 'johanns', 'johanns']","['laubeck', 'laubeck', 'laubeck', 'laubeck']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_cordonniers', 'corporation_des_cordonniers', 'corporation_des_cordonniers', 'corporation_des_cordonniers']","[nan, nan, nan, nan]","[131, 136, 139, 142]","[nan, nan, nan, nan]","[7, 6, 6, 6]","laubeck, johanns",4
