RangConseil,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne,Unnamed: 0
4,aves_aa_4R_1400_0005,1400,ammeister,her Wilhelm Metziger der                      ammeister,wilhelm,metziger,,,"['her', 'ammeister']",echevinat,,,131,1,5,5.0
29,aves_aa_4R_1400_0030,1400,conseiller_des_marchands,Hanman von Colmar,hannemann,"colmar, von",,,,echevinat,corporation_des_marchands,,131,1,30,30.0
30,aves_aa_4R_1400_0031,1400,conseiller_des_boulangers,Gerung inn Judengasse,,gerung,"judengasse, in",,,echevinat,corporation_des_boulangers,,131,1,31,31.0
31,aves_aa_4R_1400_0032,1400,conseiller_des_bouchers,Wilhelm Rotschilt,wilhelm,rotschilt,,,,echevinat,corporation_des_bouchers,,131,1,32,32.0
32,aves_aa_4R_1400_0033,1400,conseiller_des_drapiers,Claus Spilman,claus,spielmann,,,,echevinat,corporation_des_drapiers,,131,1,33,33.0
33,aves_aa_4R_1400_0034,1400,conseiller_des_tonneliers,Claus Schott,claus,schott,,,,echevinat,corporation_des_tonneliers,,131,1,34,34.0
34,aves_aa_4R_1400_0035,1400,conseiller_des_tanneurs,Ülrich Isenhusen,ulrich,issenhausen,,,,echevinat,corporation_des_tanneurs,,131,1,35,35.0
35,aves_aa_4R_1400_0036,1400,conseiller_des_cabaretiers,Sigel,sigel,,,,,echevinat,corporation_des_cabaretiers,,131,1,36,36.0
36,aves_aa_4R_1400_0037,1400,conseiller_des_maçons,Erhart Kindelin,erhart,kindelin,,,,echevinat,corporation_des_maçons,,131,1,37,37.0
37,aves_aa_4R_1400_0038,1400,conseiller_des_forgerons,Andres am Rossmerckt,andres,,"rossmarkt, am",,,echevinat,corporation_des_forgerons,,131,2,1,38.0
38,aves_aa_4R_1400_0039,1400,conseiller_des_tailleurs,Diebolt von Ginebreht,diebolt,"gumbrecht, von",,,,echevinat,corporation_des_tailleurs,,131,2,2,39.0
39,aves_aa_4R_1400_0040,1400,conseiller_des_bateliers,Cüntz Boppe,küntz,boppe,,,,echevinat,corporation_des_bateliers,,131,2,3,40.0
40,aves_aa_4R_1400_0041,1400,conseiller_des_charpentiers,Diethrich Tumeler,dietrich,tummeler,,,,echevinat,corporation_des_charpentiers,,131,2,4,41.0
41,aves_aa_4R_1400_0042,1400,conseiller_des_pelletiers,Johanns Westerman,johanns,westermann,,,,echevinat,corporation_des_pelletiers,,131,2,5,42.0
42,aves_aa_4R_1400_0043,1400,conseiller_des_crieurs_et_mesureurs_de_vin,Leonhart Heischer,lienhart,heischer,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,131,2,6,43.0
43,aves_aa_4R_1400_0044,1400,conseiller_des_cordonniers,Johanns Loubeck,johanns,laubeck,,,,echevinat,corporation_des_cordonniers,,131,2,7,44.0
44,aves_aa_4R_1400_0045,1400,conseiller_des_orfevres,Peter Honowe,peter,honau,,,,echevinat,corporation_des_orfevres,,131,2,8,45.0
45,aves_aa_4R_1400_0046,1400,conseiller_des_marchands_de_grains,Ülrich Hünrer,ulrich,hühnerer,,,,echevinat,corporation_des_marchands_de_grains,,131,2,9,46.0
46,aves_aa_4R_1400_0047,1400,conseiller_des_jardiniers,Andres Nattener,andres,nattener,,,,echevinat,corporation_des_jardiniers,,131,2,10,47.0
47,aves_aa_4R_1400_0048,1400,conseiller_des_pêcheurs,Johanns Swicker,johanns,schwicker,,,,echevinat,corporation_des_pêcheurs,,131,2,11,48.0
48,aves_aa_4R_1400_0049,1400,conseiller_des_barbiers_et_baigneurs,Heintzman Aler,heintz,aler,,,,echevinat,corporation_des_barbiers_et_baigneurs,,131,2,12,49.0
49,aves_aa_4R_1400_0050,1400,conseiller_des_sauniers,her Ülrich Gosse,ulrich,gosse,,,['her'],echevinat,corporation_des_sauniers,,131,2,13,50.0
50,aves_aa_4R_1400_0051,1400,conseiller_des_tisserands,Claus von Ingenheim,claus,"ingenheim, von",,,,echevinat,corporation_des_tisserands,,131,2,14,51.0
51,aves_aa_4R_1400_0052,1400,conseiller_des_gourmets_et_courtiers,Hanns Diether,johanns,diether,,,,echevinat,corporation_des_gourmets_et_courtiers,,131,2,15,52.0
52,aves_aa_4R_1400_0053,1400,conseiller_des_charrons,Claus Dingesheim,claus,dingsheim,,,,echevinat,corporation_des_charrons,,131,2,16,53.0
53,aves_aa_4R_1400_0054,1400,conseiller_des_regrattiers_cordiers_et_fruitiers,Peter von Hagenöwe,peter,"hagenau, von",,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,131,2,17,54.0
54,aves_aa_4R_1400_0055,1400,conseiller_des_coltineurs_de_tonneaux,Cüntz Stahel,küntz,stachel,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,131,2,18,55.0
55,aves_aa_4R_1400_0056,1400,conseiller_des_constructeurs_de_bateaux,Hug Klye am Staden,hug,klige,"staden, am",,,echevinat,corporation_des_constructeurs_de_bateaux,,131,2,19,56.0
56,aves_aa_4R_1400_0057,1400,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Walther Rynöwe,walther,rhinau,,,,echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,131,2,20,57.0
4,aves_aa_4R_1401_0005,1401,ammeister,her Peter Sünner der ammeister,peter,sünner,,,"['her', 'ammeister']",echevinat,,,132,1,5,5.0
29,aves_aa_4R_1401_0030,1401,conseiller_des_marchands,her Rüllin Barpfennig altammeister,ruhlemann,barpfennig,,,"['her', 'altammeister']",echevinat,corporation_des_marchands,,132,1,29,30.0
30,aves_aa_4R_1401_0031,1401,conseiller_des_boulangers,Johanns pfister Sant Thoman,johanns,,sankt-thoman,,['pfister'],echevinat,corporation_des_boulangers,,132,1,30,31.0
31,aves_aa_4R_1401_0032,1401,conseiller_des_bouchers,Wilhelm von Berse,wilhelm,"berse, von",,,,echevinat,corporation_des_bouchers,,132,1,31,32.0
32,aves_aa_4R_1401_0033,1401,conseiller_des_drapiers,Hanseman Herbst,johanns,herbst,,,,echevinat,corporation_des_drapiers,,132,1,32,33.0
33,aves_aa_4R_1401_0034,1401,conseiller_des_tonneliers,Johanns Langnefe,johanns,langneffe,,,,echevinat,corporation_des_tonneliers,,132,1,33,34.0
34,aves_aa_4R_1401_0035,1401,conseiller_des_tanneurs,Johanns Hanseler der                         gerwer,johanns,hanseler,,,['gerwer'],echevinat,corporation_des_tanneurs,,132,1,34,35.0
35,aves_aa_4R_1401_0036,1401,conseiller_des_cabaretiers,her Heinrich Cranich altammeister,heinrich,kranich,,,"['her', 'altammeister']",echevinat,corporation_des_cabaretiers,,132,1,35,36.0
36,aves_aa_4R_1401_0037,1401,conseiller_des_maçons,Johanns Ganß der alter,johanns,gans,,,,echevinat,corporation_des_maçons,,132,1,36,37.0
37,aves_aa_4R_1401_0038,1401,conseiller_des_forgerons,Eberlin von Truhtersheim,eberhart,"trüchtersheim, von",,,,echevinat,corporation_des_forgerons,,132,1,37,38.0
38,aves_aa_4R_1401_0039,1401,conseiller_des_tailleurs,Heilman der                               schnider,heilmann,,,,['schnider'],echevinat,corporation_des_tailleurs,,132,2,1,39.0
39,aves_aa_4R_1401_0040,1401,conseiller_des_bateliers,Johanns Nellesheim der jung,johanns,nellesheim,,der junge,,echevinat,corporation_des_bateliers,,132,2,2,40.0
40,aves_aa_4R_1401_0041,1401,conseiller_des_pelletiers,Heintzeman Selose,heintz,seelose,,,,echevinat,corporation_des_pelletiers,,132,2,3,41.0
41,aves_aa_4R_1401_0042,1401,conseiller_des_charpentiers,Otman Münch,ottemann,münch,,,,echevinat,corporation_des_charpentiers,,132,2,4,42.0
42,aves_aa_4R_1401_0043,1401,conseiller_des_crieurs_et_mesureurs_de_vin,Fritsch Beildeck,fritsch,beildeck,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,132,2,5,43.0
43,aves_aa_4R_1401_0044,1401,conseiller_des_cordonniers,Cristian vor den Barfüsser,christian,,"barfüssern, vor den",,,echevinat,corporation_des_cordonniers,,132,2,6,44.0
44,aves_aa_4R_1401_0045,1401,conseiller_des_orfevres,Claus Hennickin der                            goltschmit,claus,henneckin,,,['goltschmit'],echevinat,corporation_des_orfevres,,132,2,7,45.0
45,aves_aa_4R_1401_0046,1401,conseiller_des_marchands_de_grains,Andres Rinowe,andres,rhinau,,,,echevinat,corporation_des_marchands_de_grains,,132,2,8,46.0
46,aves_aa_4R_1401_0047,1401,conseiller_des_jardiniers,Johanns Staheler,johanns,stacheler,,,,echevinat,corporation_des_jardiniers,,132,2,9,47.0
47,aves_aa_4R_1401_0048,1401,conseiller_des_pêcheurs,Stöffelin der                               vischer,stoffelus,,,,['vischer'],echevinat,corporation_des_pêcheurs,,132,2,10,48.0
48,aves_aa_4R_1401_0049,1401,conseiller_des_barbiers_et_baigneurs,Johanns Pfennigman,johanns,pfennigmann,,,,echevinat,corporation_des_barbiers_et_baigneurs,,132,2,11,49.0
49,aves_aa_4R_1401_0050,1401,conseiller_des_sauniers,Johanns Saltzmütter der jung,johanns,saltzmütter,,der junge,,echevinat,corporation_des_sauniers,,132,2,12,50.0
50,aves_aa_4R_1401_0051,1401,conseiller_des_tisserands,Johanns Tölde,johanns,dolde,,,,echevinat,corporation_des_tisserands,,132,2,13,51.0
51,aves_aa_4R_1401_0052,1401,conseiller_des_gourmets_et_courtiers,Walther Schrotbanck,walther,schrotbanck,,,,echevinat,corporation_des_gourmets_et_courtiers,,132,2,14,52.0
52,aves_aa_4R_1401_0053,1401,conseiller_des_charrons,Wigang der                            kistener,,wigang,,,['kistener'],echevinat,corporation_des_charrons,,132,2,15,53.0
53,aves_aa_4R_1401_0054,1401,conseiller_des_regrattiers_cordiers_et_fruitiers,Diemar CleinHanns,diethmar,kleinhanns,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,132,2,16,54.0
54,aves_aa_4R_1401_0055,1401,conseiller_des_coltineurs_de_tonneaux,Claus Kornbick,claus,kornbick,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,132,2,17,55.0
55,aves_aa_4R_1401_0056,1401,conseiller_des_constructeurs_de_bateaux,Leonhart Babst,lienhart,bobst,,,,echevinat,corporation_des_constructeurs_de_bateaux,,132,2,18,56.0
56,aves_aa_4R_1401_0057,1401,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Walther Oleman,walther,ölmann,,,,echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,132,2,19,57.0
4,aves_aa_4R_1402_0005,1402,ammeister,her Ülrich Gosse der ammeister,ulrich,gosse,,,"['her', 'ammeister']",echevinat,,,133,1,5,5.0
28,aves_aa_4R_1402_0029,1402,conseiller_des_marchands,Hanns Barpfennig,johanns,barpfennig,,,,echevinat,corporation_des_marchands,,133,1,29,29.0
29,aves_aa_4R_1402_0030,1402,conseiller_des_boulangers,Cüntz am Staden,küntz,,"staden, am",,,echevinat,corporation_des_boulangers,,133,1,30,30.0
30,aves_aa_4R_1402_0031,1402,conseiller_des_bouchers,her Wilhelm Metziger,wilhelm,metziger,,,['her'],echevinat,corporation_des_bouchers,,133,1,31,31.0
31,aves_aa_4R_1402_0032,1402,conseiller_des_drapiers,Johanns Verwer,johanns,färber,,,,echevinat,corporation_des_drapiers,,133,1,32,32.0
32,aves_aa_4R_1402_0033,1402,conseiller_des_tonneliers,Hanns Heinrich züm Zoller,johanns,heinrich,"zoller, zum",,,echevinat,corporation_des_tonneliers,,133,1,33,33.0
33,aves_aa_4R_1402_0034,1402,conseiller_des_tanneurs,Heintz Stumpff,heintz,stumpf,,,,echevinat,corporation_des_tanneurs,,133,1,34,34.0
34,aves_aa_4R_1402_0035,1402,conseiller_des_cabaretiers,Heinrich Cranich,heinrich,kranich,,,,echevinat,corporation_des_cabaretiers,,133,1,35,35.0
35,aves_aa_4R_1402_0036,1402,conseiller_des_maçons,Johanns Bergheim genant                            Ammeister,johanns,bergheim,ammeister,,,echevinat,corporation_des_maçons,,133,1,36,36.0
36,aves_aa_4R_1402_0037,1402,conseiller_des_forgerons,Steffan Sporer,stefan,sporer,,,,echevinat,corporation_des_forgerons,,133,1,37,37.0
37,aves_aa_4R_1402_0038,1402,conseiller_des_tailleurs,Heintz Schön,heintz,schön,,,,echevinat,corporation_des_tailleurs,,133,2,1,38.0
38,aves_aa_4R_1402_0039,1402,conseiller_des_bateliers,Johanns Nellesheim genant                            Rethanns,johanns,nellesheim,rethanns,,,echevinat,corporation_des_bateliers,,133,2,2,39.0
39,aves_aa_4R_1402_0040,1402,conseiller_des_charpentiers,der lang Obreht,obrecht,,der lange,,,echevinat,corporation_des_charpentiers,,133,2,3,40.0
40,aves_aa_4R_1402_0041,1402,conseiller_des_pelletiers,Johanns Westerman,johanns,westermann,,,,echevinat,corporation_des_pelletiers,,133,2,4,41.0
41,aves_aa_4R_1402_0042,1402,conseiller_des_crieurs_et_mesureurs_de_vin,Lienhart Heischer,lienhart,heischer,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,133,2,5,42.0
42,aves_aa_4R_1402_0043,1402,conseiller_des_cordonniers,Cüntzlin Schultheiss,küntz,schultheiss,,,,echevinat,corporation_des_cordonniers,,133,2,6,43.0
43,aves_aa_4R_1402_0044,1402,conseiller_des_orfevres,Andres Clamman der moler,andres,klammann,,,['moler'],echevinat,corporation_des_orfevres,,133,2,7,44.0
44,aves_aa_4R_1402_0045,1402,conseiller_des_marchands_de_grains,Cüntz Rickersheim,küntz,rickersheim,,,,echevinat,corporation_des_marchands_de_grains,,133,2,8,45.0
