authority,date,represents
aves_aa_4R_auth_0002,1400,group_05
aves_aa_4R_auth_0003,1400,group_06
aves_aa_4R_auth_0004,1400,group_07
aves_aa_4R_auth_0005,1400,group_09
aves_aa_4R_auth_0006,1400,group_08
aves_aa_4R_auth_0007,1400,group_10
aves_aa_4R_auth_0008,1400,group_11
aves_aa_4R_auth_0009,1400,group_12
aves_aa_4R_auth_0010,1400,group_13
aves_aa_4R_auth_0011,1400,group_14
aves_aa_4R_auth_0012,1400,group_15
aves_aa_4R_auth_0013,1400,group_17
aves_aa_4R_auth_0014,1400,group_16
aves_aa_4R_auth_0015,1400,group_18
aves_aa_4R_auth_0016,1400,group_19
aves_aa_4R_auth_0017,1400,group_20
aves_aa_4R_auth_0018,1400,group_21
aves_aa_4R_auth_0019,1400,group_22
aves_aa_4R_auth_0020,1400,group_23
aves_aa_4R_auth_0021,1400,group_24
aves_aa_4R_auth_0022,1400,group_25
aves_aa_4R_auth_0023,1400,group_26
aves_aa_4R_auth_0024,1400,group_27
aves_aa_4R_auth_0025,1400,group_28
aves_aa_4R_auth_0026,1400,group_29
aves_aa_4R_auth_0027,1400,group_30
aves_aa_4R_auth_0028,1400,group_31
aves_aa_4R_auth_0029,1400,group_32
aves_aa_4R_auth_0031,1401,group_05
aves_aa_4R_auth_0032,1401,group_06
aves_aa_4R_auth_0033,1401,group_07
aves_aa_4R_auth_0034,1401,group_09
aves_aa_4R_auth_0035,1401,group_08
aves_aa_4R_auth_0036,1401,group_10
aves_aa_4R_auth_0037,1401,group_11
aves_aa_4R_auth_0038,1401,group_12
aves_aa_4R_auth_0039,1401,group_13
aves_aa_4R_auth_0040,1401,group_14
aves_aa_4R_auth_0041,1401,group_15
aves_aa_4R_auth_0042,1401,group_16
aves_aa_4R_auth_0043,1401,group_17
aves_aa_4R_auth_0044,1401,group_18
aves_aa_4R_auth_0045,1401,group_19
aves_aa_4R_auth_0046,1401,group_20
aves_aa_4R_auth_0047,1401,group_21
aves_aa_4R_auth_0048,1401,group_22
aves_aa_4R_auth_0049,1401,group_23
aves_aa_4R_auth_0050,1401,group_24
aves_aa_4R_auth_0051,1401,group_25
aves_aa_4R_auth_0052,1401,group_26
aves_aa_4R_auth_0053,1401,group_27
aves_aa_4R_auth_0054,1401,group_28
aves_aa_4R_auth_0055,1401,group_29
aves_aa_4R_auth_0056,1401,group_30
aves_aa_4R_auth_0057,1401,group_31
aves_aa_4R_auth_0058,1401,group_32
aves_aa_4R_auth_0059,1402,group_05
aves_aa_4R_auth_0060,1402,group_06
aves_aa_4R_auth_0001,1402,group_07
aves_aa_4R_auth_0061,1402,group_09
aves_aa_4R_auth_0062,1402,group_08
aves_aa_4R_auth_0063,1402,group_10
aves_aa_4R_auth_0037,1402,group_11
aves_aa_4R_auth_0064,1402,group_12
aves_aa_4R_auth_0065,1402,group_13
aves_aa_4R_auth_0066,1402,group_14
aves_aa_4R_auth_0041,1402,group_15
aves_aa_4R_auth_0067,1402,group_17
aves_aa_4R_auth_0014,1402,group_16
aves_aa_4R_auth_0015,1402,group_18
aves_aa_4R_auth_0068,1402,group_19
aves_aa_4R_auth_0069,1402,group_20
aves_aa_4R_auth_0070,1402,group_21
aves_aa_4R_auth_0071,1402,group_22
aves_aa_4R_auth_0072,1402,group_23
aves_aa_4R_auth_0073,1402,group_24
aves_aa_4R_auth_0074,1402,group_25
aves_aa_4R_auth_0023,1402,group_26
aves_aa_4R_auth_0075,1402,group_27
aves_aa_4R_auth_0076,1402,group_28
aves_aa_4R_auth_0077,1402,group_29
aves_aa_4R_auth_0078,1402,group_30
aves_aa_4R_auth_0079,1402,group_31
aves_aa_4R_auth_0029,1402,group_32
aves_aa_4R_auth_0031,1403,group_05
aves_aa_4R_auth_0081,1403,group_06
aves_aa_4R_auth_0082,1403,group_07
aves_aa_4R_auth_0083,1403,group_09
aves_aa_4R_auth_0084,1403,group_08
aves_aa_4R_auth_0085,1403,group_10
aves_aa_4R_auth_0086,1403,group_11
aves_aa_4R_auth_0087,1403,group_12
aves_aa_4R_auth_0088,1403,group_13
aves_aa_4R_auth_0089,1403,group_14
aves_aa_4R_auth_0030,1403,group_15
aves_aa_4R_auth_0090,1403,group_16
aves_aa_4R_auth_0043,1403,group_17
aves_aa_4R_auth_0091,1403,group_18
aves_aa_4R_auth_0092,1403,group_19
aves_aa_4R_auth_0093,1403,group_20
aves_aa_4R_auth_0094,1403,group_21
aves_aa_4R_auth_0095,1403,group_22
aves_aa_4R_auth_0096,1403,group_23
aves_aa_4R_auth_0097,1403,group_24
aves_aa_4R_auth_0098,1403,group_25
aves_aa_4R_auth_0099,1403,group_26
aves_aa_4R_auth_0100,1403,group_27
aves_aa_4R_auth_0025,1403,group_28
aves_aa_4R_auth_0101,1403,group_29
aves_aa_4R_auth_0027,1403,group_30
aves_aa_4R_auth_0102,1403,group_31
aves_aa_4R_auth_0058,1403,group_32
aves_aa_4R_auth_0059,1404,group_05
aves_aa_4R_auth_0032,1404,group_06
aves_aa_4R_auth_0103,1404,group_07
aves_aa_4R_auth_0104,1404,group_09
aves_aa_4R_auth_0105,1404,group_08
aves_aa_4R_auth_0007,1404,group_10
aves_aa_4R_auth_0106,1404,group_11
aves_aa_4R_auth_0009,1404,group_12
aves_aa_4R_auth_0107,1404,group_13
aves_aa_4R_auth_0108,1404,group_14
aves_aa_4R_auth_0109,1404,group_15
aves_aa_4R_auth_0110,1404,group_16
aves_aa_4R_auth_0111,1404,group_17
aves_aa_4R_auth_0015,1404,group_18
aves_aa_4R_auth_0112,1404,group_19
aves_aa_4R_auth_0017,1404,group_20
aves_aa_4R_auth_0113,1404,group_21
aves_aa_4R_auth_0019,1404,group_22
aves_aa_4R_auth_0020,1404,group_23
aves_aa_4R_auth_0114,1404,group_24
aves_aa_4R_auth_0022,1404,group_25
aves_aa_4R_auth_0115,1404,group_26
aves_aa_4R_auth_0116,1404,group_27
aves_aa_4R_auth_0117,1404,group_28
aves_aa_4R_auth_0077,1404,group_29
aves_aa_4R_auth_0118,1404,group_30
aves_aa_4R_auth_0057,1404,group_31
aves_aa_4R_auth_0029,1404,group_32
aves_aa_4R_auth_0119,1405,group_05
aves_aa_4R_auth_0120,1405,group_06
aves_aa_4R_auth_0033,1405,group_07
aves_aa_4R_auth_0080,1405,group_09
aves_aa_4R_auth_0121,1405,group_08
aves_aa_4R_auth_0122,1405,group_10
aves_aa_4R_auth_0123,1405,group_11
aves_aa_4R_auth_0124,1405,group_12
aves_aa_4R_auth_0125,1405,group_13
aves_aa_4R_auth_0066,1405,group_14
aves_aa_4R_auth_0030,1405,group_15
aves_aa_4R_auth_0042,1405,group_16
aves_aa_4R_auth_0067,1405,group_17
aves_aa_4R_auth_0126,1405,group_18
aves_aa_4R_auth_0016,1405,group_19
aves_aa_4R_auth_0127,1405,group_20
aves_aa_4R_auth_0128,1405,group_21
aves_aa_4R_auth_0129,1405,group_22
aves_aa_4R_auth_0130,1405,group_23
aves_aa_4R_auth_0097,1405,group_24
aves_aa_4R_auth_0131,1405,group_25
aves_aa_4R_auth_0132,1405,group_26
aves_aa_4R_auth_0024,1405,group_27
aves_aa_4R_auth_0025,1405,group_28
aves_aa_4R_auth_0133,1405,group_29
aves_aa_4R_auth_0027,1405,group_30
aves_aa_4R_auth_0028,1405,group_31
aves_aa_4R_auth_0058,1405,group_32
aves_aa_4R_auth_0134,1406,group_05
aves_aa_4R_auth_0135,1406,group_06
aves_aa_4R_auth_0082,1406,group_07
aves_aa_4R_auth_0005,1406,group_09
aves_aa_4R_auth_0136,1406,group_08
aves_aa_4R_auth_0036,1406,group_10
aves_aa_4R_auth_0137,1406,group_11
aves_aa_4R_auth_0138,1406,group_12
aves_aa_4R_auth_0065,1406,group_13
aves_aa_4R_auth_0139,1406,group_14
aves_aa_4R_auth_0140,1406,group_15
aves_aa_4R_auth_0141,1406,group_16
aves_aa_4R_auth_0142,1406,group_17
aves_aa_4R_auth_0092,1406,group_19
aves_aa_4R_auth_0143,1406,group_20
aves_aa_4R_auth_0018,1406,group_21
aves_aa_4R_auth_0144,1406,group_22
aves_aa_4R_auth_0096,1406,group_23
aves_aa_4R_auth_0145,1406,group_24
aves_aa_4R_auth_0022,1406,group_25
aves_aa_4R_auth_0146,1406,group_26
aves_aa_4R_auth_0053,1406,group_27
aves_aa_4R_auth_0147,1406,group_28
aves_aa_4R_auth_0026,1406,group_29
aves_aa_4R_auth_0078,1406,group_30
aves_aa_4R_auth_0057,1406,group_31
aves_aa_4R_auth_0148,1406,group_32
aves_aa_4R_auth_0149,1408,group_05
aves_aa_4R_auth_0032,1408,group_06
aves_aa_4R_auth_0001,1408,group_07
aves_aa_4R_auth_0034,1408,group_09
aves_aa_4R_auth_0121,1408,group_08
aves_aa_4R_auth_0150,1408,group_10
aves_aa_4R_auth_0106,1408,group_11
aves_aa_4R_auth_0064,1408,group_12
aves_aa_4R_auth_0151,1408,group_13
aves_aa_4R_auth_0152,1408,group_14
aves_aa_4R_auth_0153,1408,group_15
aves_aa_4R_auth_0090,1408,group_16
aves_aa_4R_auth_0154,1408,group_17
aves_aa_4R_auth_0155,1408,group_18
