authority,date,role,represents,represents_in
aves_aa_4R_auth_1093,1444,group_50,,group_30
aves_aa_4R_auth_1092,1444,group_50,,group_12
aves_aa_4R_auth_1091,1444,group_50,,group_12
aves_aa_4R_auth_1090,1444,group_50,,group_12
aves_aa_4R_auth_1089,1444,group_50,,group_12
aves_aa_4R_auth_1088,1444,group_50,,group_17
aves_aa_4R_auth_1087,1444,group_50,,group_17
aves_aa_4R_auth_1086,1444,group_50,,group_17
aves_aa_4R_auth_1085,1444,group_50,,group_17
aves_aa_4R_auth_1084,1444,group_50,group_73,group_29
aves_aa_4R_auth_1083,1444,group_50,group_67,group_29
aves_aa_4R_auth_1082,1444,group_50,group_67,group_29
aves_aa_4R_auth_1081,1444,group_50,group_67,group_29
aves_aa_4R_auth_1080,1444,group_50,group_67,group_29
aves_aa_4R_auth_1079,1444,group_50,group_65,group_29
aves_aa_4R_auth_1078,1444,group_50,,group_26
aves_aa_4R_auth_1077,1444,group_50,,group_26
aves_aa_4R_auth_1076,1444,group_50,,group_26
aves_aa_4R_auth_1075,1444,group_50,group_37,group_22
aves_aa_4R_auth_1074,1444,group_50,group_37,group_22
aves_aa_4R_auth_1073,1444,group_50,group_36,group_22
aves_aa_4R_auth_1072,1444,group_50,group_34,group_22
aves_aa_4R_auth_1071,1444,group_50,group_38,group_22
aves_aa_4R_auth_1070,1444,group_50,group_38,group_22
aves_aa_4R_auth_1069,1444,group_50,,group_28
aves_aa_4R_auth_1068,1444,group_50,,group_28
aves_aa_4R_auth_1067,1444,group_50,,group_28
aves_aa_4R_auth_1066,1444,group_50,group_47,group_23
aves_aa_4R_auth_1065,1444,group_50,group_45,group_23
aves_aa_4R_auth_1064,1444,group_50,group_35,group_23
aves_aa_4R_auth_1063,1444,group_50,group_33,group_23
aves_aa_4R_auth_1062,1444,group_50,group_33,group_23
aves_aa_4R_auth_1061,1444,group_50,group_33,group_23
aves_aa_4R_auth_1060,1444,group_50,,group_19
aves_aa_4R_auth_1059,1444,group_50,,group_19
aves_aa_4R_auth_1058,1444,group_50,,group_19
aves_aa_4R_auth_1057,1444,group_50,,group_19
aves_aa_4R_auth_1056,1444,group_50,,group_19
aves_aa_4R_auth_1055,1444,group_50,,group_19
aves_aa_4R_auth_1054,1444,group_50,,group_19
aves_aa_4R_auth_1053,1444,group_50,,group_19
aves_aa_4R_auth_1052,1444,group_50,,group_19
aves_aa_4R_auth_1051,1444,group_50,,group_19
aves_aa_4R_auth_1050,1444,group_50,,group_19
aves_aa_4R_auth_1049,1444,group_50,group_70,group_32
aves_aa_4R_auth_1048,1444,group_50,group_74,group_32
aves_aa_4R_auth_1047,1444,group_50,group_68,group_32
aves_aa_4R_auth_1046,1444,group_50,group_68,group_32
aves_aa_4R_auth_1045,1444,group_50,group_63,group_24
aves_aa_4R_auth_1044,1444,group_50,group_63,group_24
aves_aa_4R_auth_1043,1444,group_50,group_63,group_24
aves_aa_4R_auth_1042,1444,group_50,group_64,group_24
aves_aa_4R_auth_1041,1444,group_50,group_64,group_24
aves_aa_4R_auth_1040,1444,group_50,group_64,group_24
aves_aa_4R_auth_1039,1444,group_50,group_64,group_24
aves_aa_4R_auth_1038,1444,group_50,group_64,group_24
aves_aa_4R_auth_1037,1444,group_50,group_66,group_18
aves_aa_4R_auth_1036,1444,group_50,group_66,group_18
aves_aa_4R_auth_1035,1444,group_50,group_69,group_18
aves_aa_4R_auth_1034,1444,group_50,group_69,group_18
aves_aa_4R_auth_1033,1444,group_50,group_69,group_18
aves_aa_4R_auth_1032,1444,group_50,,group_13
aves_aa_4R_auth_1031,1444,group_50,,group_13
aves_aa_4R_auth_1030,1444,group_50,,group_13
aves_aa_4R_auth_1029,1444,group_50,,group_13
aves_aa_4R_auth_1028,1444,group_50,,group_13
