Recid,nom,prenom,surnom
aves_aa_4R_auth_0001,metziger,wilhelm,
aves_aa_4R_auth_0002,"colmar, von",hannemann,
aves_aa_4R_auth_0003,gerung,,"judengasse, in"
aves_aa_4R_auth_0004,rotschilt,wilhelm,
aves_aa_4R_auth_0005,spielmann,claus,
aves_aa_4R_auth_0006,schott,claus,
aves_aa_4R_auth_0007,issenhausen,ulrich,
aves_aa_4R_auth_0008,,sigel,
aves_aa_4R_auth_0009,kindelin,erhart,
aves_aa_4R_auth_0010,,andres,"rossmarkt, am"
aves_aa_4R_auth_0011,"gumbrecht, von",diebolt,
aves_aa_4R_auth_0012,boppe,küntz,
aves_aa_4R_auth_0013,tummeler,dietrich,
aves_aa_4R_auth_0014,westermann,johanns,
aves_aa_4R_auth_0015,heischer,lienhart,
aves_aa_4R_auth_0016,laubeck,johanns,
aves_aa_4R_auth_0017,honau,peter,
aves_aa_4R_auth_0018,hühnerer,ulrich,
aves_aa_4R_auth_0019,nattener,andres,
aves_aa_4R_auth_0020,schwicker,johanns,
aves_aa_4R_auth_0021,aler,heintz,
aves_aa_4R_auth_0022,gosse,ulrich,
aves_aa_4R_auth_0023,"ingenheim, von",claus,
aves_aa_4R_auth_0024,diether,johanns,
aves_aa_4R_auth_0025,dingsheim,claus,
aves_aa_4R_auth_0026,"hagenau, von",peter,"hagenau, von"
aves_aa_4R_auth_0027,stachel,küntz,
aves_aa_4R_auth_0028,klige,hug,"staden, am"
aves_aa_4R_auth_0029,rhinau,walther,
aves_aa_4R_auth_0030,sünner,peter,
aves_aa_4R_auth_0031,barpfennig,ruhlemann,
aves_aa_4R_auth_0032,,johanns,sankt-thoman
aves_aa_4R_auth_0033,"berse, von",wilhelm,
aves_aa_4R_auth_0034,herbst,johanns,
aves_aa_4R_auth_0035,langneffe,johanns,
aves_aa_4R_auth_0036,hanseler,johanns,
aves_aa_4R_auth_0037,kranich,heinrich,
aves_aa_4R_auth_0038,gans,johanns,
aves_aa_4R_auth_0039,"trüchtersheim, von",eberhart,
aves_aa_4R_auth_0040,,heilmann,
aves_aa_4R_auth_0041,nellesheim,johanns,rethanns der junge 
aves_aa_4R_auth_0042,seelose,heintz,
aves_aa_4R_auth_0043,münch,ottemann,
aves_aa_4R_auth_0044,beildeck,fritsch,
aves_aa_4R_auth_0045,,christian,"barfüssern, vor den"
aves_aa_4R_auth_0046,henneckin,claus,
aves_aa_4R_auth_0047,rhinau,andres,
aves_aa_4R_auth_0048,stacheler,johanns,
aves_aa_4R_auth_0049,,stoffelus,
aves_aa_4R_auth_0050,pfennigmann,johanns,
