id,page,column,line,date,rank,quote,source,authority,role,represents,represents_in,title,honorific,is_member
aves_aa_4R_1400_0005,131,1,5,10,4,her Wilhelm Metziger der ammeister,doc_01,aves_aa_4R_auth_0001,group_48,,group_01,group_51,,
aves_aa_4R_1400_0030,131,1,30,10,29,Hanman von Colmar,doc_01,aves_aa_4R_auth_0002,group_49,group_05,group_01,,,
aves_aa_4R_1400_0031,131,1,31,10,30,Gerung inn Judengasse,doc_01,aves_aa_4R_auth_0003,group_49,group_06,group_01,,,
aves_aa_4R_1400_0032,131,1,32,10,31,Wilhelm Rotschilt,doc_01,aves_aa_4R_auth_0004,group_49,group_07,group_01,,,
aves_aa_4R_1400_0033,131,1,33,10,32,Claus Spilman,doc_01,aves_aa_4R_auth_0005,group_49,group_09,group_01,,,
aves_aa_4R_1400_0034,131,1,34,10,33,Claus Schott,doc_01,aves_aa_4R_auth_0006,group_49,group_08,group_01,,,
aves_aa_4R_1400_0035,131,1,35,10,34,Ülrich Isenhusen,doc_01,aves_aa_4R_auth_0007,group_49,group_10,group_01,,,
aves_aa_4R_1400_0036,131,1,36,10,35,Sigel,doc_01,aves_aa_4R_auth_0008,group_49,group_11,group_01,,,
aves_aa_4R_1400_0037,131,1,37,10,36,Erhart Kindelin,doc_01,aves_aa_4R_auth_0009,group_49,group_12,group_01,,,
aves_aa_4R_1400_0038,131,2,1,10,37,Andres am Rossmerckt,doc_01,aves_aa_4R_auth_0010,group_49,group_13,group_01,,,
aves_aa_4R_1400_0039,131,2,2,10,38,Diebolt von Ginebreht,doc_01,aves_aa_4R_auth_0011,group_49,group_14,group_01,,,
aves_aa_4R_1400_0040,131,2,3,10,39,Cüntz Boppe,doc_01,aves_aa_4R_auth_0012,group_49,group_15,group_01,,,
aves_aa_4R_1400_0041,131,2,4,10,40,Diethrich Tumeler,doc_01,aves_aa_4R_auth_0013,group_49,group_17,group_01,,,
aves_aa_4R_1400_0042,131,2,5,10,41,Johanns Westerman,doc_01,aves_aa_4R_auth_0014,group_49,group_16,group_01,,,
aves_aa_4R_1400_0043,131,2,6,10,42,Leonhart Heischer,doc_01,aves_aa_4R_auth_0015,group_49,group_18,group_01,,,
aves_aa_4R_1400_0044,131,2,7,10,43,Johanns Loubeck,doc_01,aves_aa_4R_auth_0016,group_49,group_19,group_01,,,
aves_aa_4R_1400_0045,131,2,8,10,44,Peter Honowe,doc_01,aves_aa_4R_auth_0017,group_49,group_20,group_01,,,
aves_aa_4R_1400_0046,131,2,9,10,45,Ülrich Hünrer,doc_01,aves_aa_4R_auth_0018,group_49,group_21,group_01,,,
