PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
adalhelm,alleaume,"['masc', 'germanique']","['adalhelm', 'adelhelm', 'alhelm']"
adam,adam,"['masc', 'hébraïque']",['adam']
adelheit,adélaïde,"['fém', 'germanique']",['adelheit']
adolff,adolphe,"['masc', 'germanique']","['adolf', 'adolff']"
agnese,agnès,"['fém', 'grec']","['nese', 'agnese']"
amandus,amand,"['masc', 'latin']",['amandus']
ambrosius,ambroise,"['masc', 'grec']",['ambrosius']
andre,andré,"['masc', 'grec']","['endre', 'andre']"
andres,andré,"['masc', 'grec']",['andres']
anshelm,anselme,"['masc', 'germanique']","['anshelm', 'anßhelm']"
anthenie,antoine,"['masc', 'latin']","['anthenie', 'anthenig', 'anthenye', 'anthenige', 'anthonie', 'anthonye', 'anthenÿe', 'anthonÿe', 'thenige']"
arbogast,,"['masc', 'germanique']","['arbgast', 'arbogast', 'ärbgäst']"
augustinus,augustin,"['masc', 'grec']",['augustinus']
balthazar,balthazar,"['masc', 'babylonian']",['balthazar']
barant,,['masc'],['barant']
barbel,barbara,"['fém', 'grec']",['barbel']
bartholomeus,barthélémy,"['masc', 'arameen']","['bartholomeus', 'bartholemey', 'bartholome']"
bechtolt,bertold,"['masc', 'germanique']","['behtolt', 'bechtolt', 'berhtolt', 'bahtolt', 'bertholt', 'bechtold']"
behremann,,"['masc', 'germanique']","['behrmann', 'behrman', 'bermann', 'berman', 'behremann', 'bere']"
bernhart,bernard,"['masc', 'germanique']","['bernhart', 'bernhard', 'berhart', 'bernharte']"
bertsch,,"['masc', 'germanique']",['bertsch']
billung,,"['masc', 'germanique']",['billung']
blesin,blaise,"['masc', 'grec']",['blesin']
brigitte,brigite,"['fém', 'celtique']","['brigde', 'brigitte', 'bride']"
burkhart,,"['masc', 'germanique']","['burkhart', 'burkhard', 'burckhart', 'burckhard', 'burchart', 'burchard', 'burckart', 'bùrcklin', 'burcklin', 'buckart', 'burckeln', 'burckel', 'bürckel', 'burckelin']"
burmann,,"['masc', 'germanique']","['burlin', 'burmann']"
böldemann,,"['masc', 'germanique']","['boͤldelin', 'böldemann']"
bürger,,"['masc', 'germanique']","['burger', 'bürger']"
caspar,gaspard,"['masc', 'latin']",['caspar']
christian,christian,"['masc', 'latin']","['cristian', 'christian', 'cristean']"
claus,nicolas,"['masc', 'grec']","['claus', 'clauwes', 'claws', 'niclaus', 'niclas', 'claüs', 'cläus']"
claus-friedrich,nicolas-frédéric,"['masc', 'compose', 'grec', 'germanique']","['claus fridrich', 'claus-friedrich', 'clauß fridrich', 'clausfridrich', 'claus friderich']"
claus-johanns,nicolas-jean,"['masc', 'hébraïque', 'composé']","['claus johann', 'claus-johanns']"
dammer,,"['masc', 'germanique']",['dammer']
diebolt,thiebault,"['masc', 'germanique']","['diebolt', 'diebold', 'tiebolt', 'tiebold', 'hanns thiebolt']"
dielmann,,"['masc', 'germanique']","['dielman', 'dielmann', 'diel', 'dielen']"
diethmar,,"['masc', 'germanique']","['diemar', 'diethmar', 'dietsche']"
dietrich,thierry,"['masc', 'franc']","['dietrich', 'diethermann', 'dietherman', 'dietherich', 'diethrich', 'diether', 'dietterich', 'dieterich']"
dinlin,,['fém'],"['dinlin', 'dielin', 'dynlin']"
ebelin,,"['masc', 'germanique']","['ebelin', 'ebel']"
eberhart,éberhard,"['masc', 'germanique']","['eberhart', 'eberhard', 'eberlin']"
eckhart,,"['masc', 'germanique']","['eckart', 'eckhart']"
elisabeth,élisabeth,"['fém', 'hébraïque']","['eilse', 'elisabeth', 'else', 'eilsebeth']"
engelhart,,"['masc', 'germanique']",['engelhart']
ennel,anne,"['fém', 'hébraïque']","['ennel', 'ennelin', 'anna', 'ennell']"
erbe,urbain,"['masc', 'latin']",['erbe']
erhart,,"['masc', 'germanique']","['erhart', 'erhard']"
ernel,,"['fém', 'germanique']","['ernelin', 'ernel']"
eucharius,euchaire,"['masc', 'latin']",['eucharius']
exel,,"['masc', 'latin']",['exel']
florentz,florent,"['masc', 'latin']","['florentz', 'florenz']"
frantz,françois,"['masc', 'germanique']","['frantz', 'franz', 'ffrantz', 'frentzel', 'frentzil']"
friedel,,"['masc', 'germanique']","['fridelin', 'friedel']"
friedrich,frédéric,"['masc', 'germanique']","['friedrich', 'fridrich', 'fridel', 'friedel', 'friderich', 'ffriderich', 'friederich', 'fredel']"
frillemann,,"['masc', 'germanique']","['frilleman', 'frillemann']"
fritsch,friedrich,"['masc', 'germanique', 'diminutif']","['fritsch', 'fritz', 'fritze', 'fritsche']"
gabriel,gabriel,"['masc', 'hebrew']",['gabriel']
gangolff,,"['masc', 'germanique']",['gangolff']
gebhart,,"['masc', 'germanique']","['gabehert', 'gabhart']"
gerbot,,"['masc', 'germanique']","['gerbot', 'gerboth', 'gerbott']"
