id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
aves_aa_4R_1418_0001,1418,stettmeister,her Fridrich Klette,friedrich,klett,,,['her'],constoffeler,,,149,,1
aves_aa_4R_1418_0002,1418,stettmeister,her Johanns Bock,johanns,bock,,,['her'],constoffeler,,,149,,2
aves_aa_4R_1418_0003,1418,stettmeister,her Rullin von Berstette,ruhlemann,"berstett, von",,,['her'],constoffeler,,,149,,3
aves_aa_4R_1418_0004,1418,stettmeister,her Claus Merswin,claus,merswin,,,['her'],constoffeler,,,149,,4
aves_aa_4R_1418_0005,1418,ammeister,her Uͦlrich Gosse der ammeister,ulrich,gosse,,,"['her', 'ammeister']",echevinat,,,149,,5
aves_aa_4R_1418_0006,1418,conseiller_des_constaffel,her Wilhelm Cloͤblouch ritter,wilhelm,klobelouch,,,"['her', 'ritter']",constoffeler,,,149,,6
aves_aa_4R_1418_0007,1418,conseiller_des_constaffel,her Johanns von Mùlnheim ritter,johanns,"müllenheim, von",,,"['her', 'ritter']",constoffeler,,,149,,7
aves_aa_4R_1418_0008,1418,conseiller_des_constaffel,her Johanns Mansse ritter,johanns,manse,,,"['her', 'ritter']",constoffeler,,,149,,8
aves_aa_4R_1418_0009,1418,conseiller_des_constaffel,Hug Zorn Heilant,hug,zorn,heilant,,,constoffeler,,,149,,9
aves_aa_4R_1418_0010,1418,conseiller_des_constaffel,Claus Ottfridrich,claus,ottfriedrich,,,,constoffeler,,,149,,10
aves_aa_4R_1418_0011,1418,conseiller_des_constaffel,Otteman von Mùlnheim,ottemann,"müllenheim, von",,,,constoffeler,,,149,,11
aves_aa_4R_1418_0012,1418,conseiller_des_constaffel,Claus von Mùlnheim,claus,"müllenheim, von",,,,constoffeler,,,149,,12
aves_aa_4R_1418_0013,1418,conseiller_des_constaffel,Reimbolt Burggraf,reimbolt,burggraf,,,,constoffeler,,,149,,13
aves_aa_4R_1418_0014,1418,conseiller_des_constaffel,Cuͦne von Kageneck,kühne,"kageneck, von",,,,constoffeler,,,149,,14
aves_aa_4R_1418_0015,1418,conseiller_des_constaffel,Cuͦnrat zuͦm Ruͦst,konrat,"rust, zum",,,,constoffeler,,,149,,15
aves_aa_4R_1418_0016,1418,conseiller_des_constaffel,Hug Voͤltsche,hug,völtsch,,,,constoffeler,,,149,,16
aves_aa_4R_1418_0017,1418,conseiller_des_constaffel,Fridrich von Epffich,friedrich,"epfig, von",,,,constoffeler,,,149,,17
aves_aa_4R_1418_0018,1418,conseiller_des_constaffel,Hanns von Heiligenstein,johanns,"heiligenstein, von",,,,constoffeler,,,149,,18
aves_aa_4R_1418_0019,1418,conseiller_des_constaffel,Dietrich Rebstock,dietrich,rebestock,,,,constoffeler,,,149,,19
aves_aa_4R_1418_0020,1418,conseiller_des_constaffel,Hanns Hesse zuͦm Hauwart,johanns,hesse,"hohwart, zum",,,constoffeler,,,149,,20
aves_aa_4R_1418_0021,1418,conseiller_des_constaffel,Hanns von Wintertur,johanns,"winterthur, von",,,,constoffeler,,,149,,21
aves_aa_4R_1418_0022,1418,conseiller_des_constaffel,Peter Mosung,peter,mosung,,,,constoffeler,,,149,,22
aves_aa_4R_1418_0023,1418,conseiller_des_constaffel,Eberlin von Schoͤneck,eberhart,"schöneck, von",,,,constoffeler,,,149,,23
aves_aa_4R_1418_0024,1418,conseiller_des_constaffel,Thoman Lentzlin,thoman,lentzelin,,,,constoffeler,,,149,,24
aves_aa_4R_1418_0025,1418,conseiller_des_constaffel,Hanns zuͦr Megde,johanns,"megde, zur",,,,constoffeler,,,149,,25
aves_aa_4R_1418_0026,1418,conseiller_des_constaffel,Claus Fridrich Bùhssener,claus-friedrich,büchsener,,,,constoffeler,,,149,,26
aves_aa_4R_1418_0027,1418,conseiller_des_constaffel,Jorg Bock,jerge,bock,,,,constoffeler,,,149,,27
aves_aa_4R_1418_0028,1418,conseiller_des_constaffel,Ludwig von Rosheim,ludwig,"rosheim, von",,,,constoffeler,,,149,,28
aves_aa_4R_1418_0029,1418,conseiller_des_constaffel,Fridrich Mansse,friedrich,manse,,,,constoffeler,,,149,,29
aves_aa_4R_1418_0030,1418,conseiller_des_marchands,Johanns Barpfennig,johanns,barpfennig,,,,echevinat,corporation_des_marchands,,149,,30
aves_aa_4R_1418_0031,1418,conseiller_des_boulangers,Jecklin Meyer,jeckel,meiger,,,,echevinat,corporation_des_boulangers,,149,,31
aves_aa_4R_1418_0032,1418,conseiller_des_bouchers,Claus Voltz,claus,voltz,,,,echevinat,corporation_des_bouchers,,149,,32
aves_aa_4R_1418_0033,1418,conseiller_des_drapiers,Claus Spilman,claus,spielmann,,,,echevinat,corporation_des_drapiers,,149,,33
aves_aa_4R_1418_0034,1418,conseiller_des_tonneliers,Claus Schanlit,claus,schanlit,,,,echevinat,corporation_des_tonneliers,,149,,34
aves_aa_4R_1418_0035,1418,conseiller_des_tanneurs,Cuͦntz Gerbot,küntz,gerbot,,,,echevinat,corporation_des_tanneurs,,149,,35
aves_aa_4R_1418_0036,1418,conseiller_des_cabaretiers,Johanns Crafft,johanns,kraft,,,,echevinat,corporation_des_cabaretiers,,149,,36
aves_aa_4R_1418_0037,1418,conseiller_des_maçons,Cuͦntz Wilde,küntz,wild,,,,echevinat,corporation_des_maçons,,149,,37
aves_aa_4R_1418_0038,1418,conseiller_des_forgerons,Hanman von Epffich der spengler,hannemann,"epfig, von",,,['spengler'],echevinat,corporation_des_forgerons,,149,,1
aves_aa_4R_1418_0039,1418,conseiller_des_tailleurs,Claus von Honowe,claus,"honau, von",,,,echevinat,corporation_des_tailleurs,,149,,2
aves_aa_4R_1418_0040,1418,conseiller_des_bateliers,her Johanns Lumbart altammeister,johanns,lumbart,,,"['her', 'altammeister']",echevinat,corporation_des_bateliers,,149,,3
aves_aa_4R_1418_0041,1418,conseiller_des_pelletiers,Spirer,,spirer,,,,echevinat,corporation_des_pelletiers,,149,,4
aves_aa_4R_1418_0042,1418,conseiller_des_charpentiers,Adam der zimmerman,adam,,,,['zimmerman'],echevinat,corporation_des_charpentiers,,149,,5
aves_aa_4R_1418_0043,1418,conseiller_des_crieurs_et_mesureurs_de_vin,Jacob zuͦr Kennen,jacob,"kenen, zur",,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,149,,6
aves_aa_4R_1418_0044,1418,conseiller_des_cordonniers,Heintz Pfluͤger,heintz,pfluger,,,,echevinat,corporation_des_cordonniers,,149,,7
aves_aa_4R_1418_0045,1418,conseiller_des_orfevres,Blesin Harnscher,blesin,harnescher,,,,echevinat,corporation_des_orfevres,,149,,8
aves_aa_4R_1418_0046,1418,conseiller_des_marchands_de_grains,her Michel Melbruͤ,michel,melbrühe,,,['her'],echevinat,corporation_des_marchands_de_grains,,149,,9
aves_aa_4R_1418_0047,1418,conseiller_des_jardiniers,Hanns Kirwart,johanns,kilwart,,,,echevinat,corporation_des_jardiniers,,149,,10
aves_aa_4R_1418_0048,1418,conseiller_des_pêcheurs,Hanns Wuͤrsel,johanns,würtzel,,,,echevinat,corporation_des_pêcheurs,,149,,11
aves_aa_4R_1418_0049,1418,conseiller_des_barbiers_et_baigneurs,Rudolff am Rossemerckt,rudolff,,"rossmarkt, am",,,echevinat,corporation_des_barbiers_et_baigneurs,,149,,12
aves_aa_4R_1418_0050,1418,conseiller_des_sauniers,Dietherman Saltzmuͤtter,dietrich,saltzmütter,,,,echevinat,corporation_des_sauniers,,149,,13
aves_aa_4R_1418_0051,1418,conseiller_des_tisserands,Diebolt von Basel,diebolt,"basel, von",,,,echevinat,corporation_des_tisserands,,149,,14
aves_aa_4R_1418_0052,1418,conseiller_des_gourmets_et_courtiers,Hanns Hͦuͦter,johanns,hüter,,,,echevinat,corporation_des_gourmets_et_courtiers,,149,,15
aves_aa_4R_1418_0053,1418,conseiller_des_charrons,Hug Dritzehen der jung,hug,dreitzehn,der junge,,,echevinat,corporation_des_charrons,,149,,16
aves_aa_4R_1418_0054,1418,conseiller_des_regrattiers_cordiers_et_fruitiers,Ruͦlman Seiler,ruhlemann,seiler,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,149,,17
aves_aa_4R_1418_0055,1418,conseiller_des_coltineurs_de_tonneaux,Claus von Wilgotheim,claus,"willgottheim, von",,,,echevinat,corporation_des_coltineurs_de_tonneaux,,149,,18
aves_aa_4R_1418_0056,1418,conseiller_des_constructeurs_de_bateaux,Heintz Kride,heintz,kride,,,,echevinat,corporation_des_constructeurs_de_bateaux,,149,,19
aves_aa_4R_1418_0057,1418,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Johanns Krappe der mùller,johanns,krapp,,,['mùller'],echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,149,,20
