,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
1,aves_aa_4R_1457_0001,1457,stettmeister,her Heinrich von Mùlnheim ritter,heinrich,"müllenheim, von",,,"['her', 'ritter']",constoffeler,,,188,1,1
2,aves_aa_4R_1457_0002,1457,stettmeister,her Heintz von Mùlnheim ritter,heintz,"müllenheim, von",,,"['her', 'ritter']",constoffeler,,,188,1,2
3,aves_aa_4R_1457_0003,1457,stettmeister,her Hanns Boͤckel ritter,johanns,böckel,,,"['her', 'ritter']",constoffeler,,,188,1,3
4,aves_aa_4R_1457_0004,1457,stettmeister,her Hannßconrat Bock,johanns-konrat,bock,,,['her'],constoffeler,,,188,1,4
5,aves_aa_4R_1457_0005,1457,ammeister,her Heinrich Meiger der ammeister,heinrich,meiger,,,"['her', 'ammeister']",echevinat,,,188,1,5
6,aves_aa_4R_1457_0006,1457,conseiller_des_constaffel,her Dietrich Burggraf,dietrich,burggraf,,,['her'],constoffeler,,,188,1,6
7,aves_aa_4R_1457_0007,1457,conseiller_des_constaffel,her Claus Zorn von Buͦlach,claus,zorn,"bülach, von",,['her'],constoffeler,,,188,1,7
8,aves_aa_4R_1457_0008,1457,conseiller_des_constaffel,her Cuͦne Nope,kühne,nope,,,['her'],constoffeler,,,188,1,8
9,aves_aa_4R_1457_0009,1457,conseiller_des_constaffel,her Hanns Elhart der jung,johanns,ellenhart,,der junge,['her'],constoffeler,,,188,1,9
10,aves_aa_4R_1457_0010,1457,conseiller_des_constaffel,her Hanns Merswin,johanns,merswin,,,['her'],constoffeler,,,188,1,10
11,aves_aa_4R_1457_0011,1457,conseiller_des_constaffel,Berhtolt Zorn zuͦm Riet,bechtolt,zorn,"riet, zum",,,constoffeler,,,188,1,11
12,aves_aa_4R_1457_0012,1457,conseiller_des_constaffel,Hanns Sturm,johanns,sturm,,,,constoffeler,,,188,1,12
13,aves_aa_4R_1457_0013,1457,conseiller_des_constaffel,Steffan Sturm,stefan,sturm,,,,constoffeler,,,188,1,13
14,aves_aa_4R_1457_0014,1457,conseiller_des_constaffel,Peter Rebstock,peter,rebestock,,,,constoffeler,,,188,1,14
15,aves_aa_4R_1457_0015,1457,conseiller_des_constaffel,Hanns Voͤltsch,johanns,völtsch,,,,constoffeler,,,188,1,15
16,aves_aa_4R_1457_0016,1457,conseiller_des_marchands,Hannsheinrich Desch,johanns-heinrich,desche,,,,echevinat,corporation_des_marchands,,188,1,16
17,aves_aa_4R_1457_0017,1457,conseiller_des_boulangers,Walther Dùrre,walther,dürr,,,,echevinat,corporation_des_boulangers,,188,1,17
18,aves_aa_4R_1457_0018,1457,conseiller_des_bouchers,Fridrich Betscholt,friedrich,bechtolt,,,,echevinat,corporation_des_bouchers,,188,1,18
19,aves_aa_4R_1457_0019,1457,conseiller_des_tonneliers,Heintzman Holtzhùser,heintz,holtzhauser,,,,echevinat,corporation_des_tonneliers,,188,1,19
20,aves_aa_4R_1457_0020,1457,conseiller_des_drapiers,Bernhart Ripel,bernhart,rippel,,,,echevinat,corporation_des_drapiers,,188,1,20
21,aves_aa_4R_1457_0021,1457,conseiller_des_tanneurs,Diebolt Reimbolt,diebolt,reimbolt,,,,echevinat,corporation_des_tanneurs,,188,1,21
22,aves_aa_4R_1457_0022,1457,conseiller_des_cabaretiers,Stoffelus Brùder,stoffelus,bruder,,,,echevinat,corporation_des_cabaretiers,,188,1,22
23,aves_aa_4R_1457_0023,1457,conseiller_des_maçons,Hanns Kachler,johanns,kacheler,,,,echevinat,corporation_des_maçons,,188,1,23
24,aves_aa_4R_1457_0024,1457,conseiller_des_forgerons,Hanns Holtnỳet,johanns,holniet,,,,echevinat,corporation_des_forgerons,,188,1,24
25,aves_aa_4R_1457_0025,1457,conseiller_des_tailleurs,Berhtolt Dolle,bechtolt,dolle,,,,echevinat,corporation_des_tailleurs,,188,1,25
26,aves_aa_4R_1457_0026,1457,conseiller_des_bateliers,Jacob Hage,jacob,hage,,,,echevinat,corporation_des_bateliers,,188,1,26
