,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1472,Dietrich,Burggraf,,,constoffeler,,Dietrich,Burggrave,,her Dietrich Burggrave
1,stettmeister,1472,Johanns,Böckel,,,constoffeler,,Hans,Boͤckel,,her Hans Boͤckel ritter
2,stettmeister,1472,Diebolt,"Müllenheim, von",,,constoffeler,,Diebolt,von Mùlnheim,,her Diebolt von Mùlnheim ritter
3,stettmeister,1472,Johanns,Hüffelin,,,constoffeler,,Hans,Hùffel,,her Hans Hùffel
4,ammeister,1472,Claus,Baumgarter,,,echevinat,,Claus,Boͧmgarter,,her Claus Boͧmgarter der ammeister
5,conseiller_des_constaffel,1472,Jacob,Bock,,,constoffeler,,Jacob,Bock,,her Jacob Bock ritter
6,conseiller_des_constaffel,1472,Johanns,Sturm,,,constoffeler,,Hans,Sturm,,Hans Sturm
7,conseiller_des_constaffel,1472,Thoman,Ellenhart,,,constoffeler,,Thomman,Elhart,,Thomman Elhart
8,conseiller_des_constaffel,1472,Peter,Rebestock,,,constoffeler,,Peter,Rebestock,,Peter Rebestock
9,conseiller_des_constaffel,1472,Wilhelm,Böckel,,,constoffeler,,Wilhelm,Boͤckel,,Wilhelm Boͤckel
10,conseiller_des_constaffel,1472,Hermann,Hüffelin,,,constoffeler,,Herman,Hùffel,,Herman Hùffel
11,conseiller_des_constaffel,1472,Friedrich,Böckel,,,constoffeler,,Friderich,Boͤckel,,Friderich Boͤckel
12,conseiller_des_constaffel,1472,Bartholomeus,Büchsener,,,constoffeler,,Bartholomeus,Bùhssener,,Bartholomeus Bùhssener
13,conseiller_des_bateliers,1472,Johanns,Berlin,,,echevinat,corporation_des_bateliers,Hans,Berlin,,Hans Berlin
14,conseiller_des_marchands,1472,Erhart,Villinger,,,echevinat,corporation_des_marchands,Erhart,Vilinger,,Erhart Vilinger
15,conseiller_des_bouchers,1472,Marx,Kerling,,,echevinat,corporation_des_bouchers,Marx,Kerling,,Marx Kerling
16,conseiller_des_cabaretiers,1472,Adam,Messner,,,echevinat,corporation_des_cabaretiers,Adam,Mesener,,Adam Mesener
17,conseiller_des_drapiers,1472,Stefan,Wingersheim,,,echevinat,corporation_des_drapiers,Steffan,Wingerßheim,,Steffan Wingerßheim
18,conseiller_des_marchands_de_grains,1472,Peter,"Rohr, von",,,echevinat,corporation_des_marchands_de_grains,Peter,von Rore,,Peter von Rore
19,conseiller_des_sauniers,1472,Claus,Renner,,,echevinat,corporation_des_sauniers,Claus,Renner,,Claus Renner
20,conseiller_des_orfevres,1472,Johanns,Ross,,,echevinat,corporation_des_orfevres,Hans,Rosse,,Hans Rosse
21,conseiller_des_boulangers,1472,Ulrich,Burer,,,echevinat,corporation_des_boulangers,Uͦlrich,Bùrer,,Uͦlrich Bùrer
22,conseiller_des_pelletiers,1472,Johanns,Meiger,,,echevinat,corporation_des_pelletiers,Hans,Meiger,,Hans Meiger
23,conseiller_des_tonneliers,1472,Jacob,Ammelung,,,echevinat,corporation_des_tonneliers,Jacob,Ammelung,,her Jacob Ammelung altammeister
24,conseiller_des_tanneurs,1472,Johanns,Vendenheim,,,echevinat,corporation_des_tanneurs,Hans,Vendenheim,,Hans Vendenheim
25,conseiller_des_gourmets_et_courtiers,1472,Ulrich,"Zabern, von",,,echevinat,corporation_des_gourmets_et_courtiers,Uͦlrich,von Zabern,,Uͦlrich von Zabern
26,conseiller_des_tailleurs,1472,Symont,"Duntzenheim, von",,,echevinat,corporation_des_tailleurs,Symmont,von Duntzenheim,,Symmont von Duntzenheim
27,conseiller_des_forgerons,1472,Lienhart,Ammeister,,,echevinat,corporation_des_forgerons,Lienhart,Ammeister,,Lienhart Ammeister
28,conseiller_des_barbiers_et_baigneurs,1472,Bernhart,Scherer,,,echevinat,corporation_des_barbiers_et_baigneurs,Bernhart,Scherer,,Bernhart Scherer
29,conseiller_des_cordonniers,1472,Konrat,Wolffach,,,echevinat,corporation_des_cordonniers,Conrat,von Wolffach,,Conrat von Wolffach
30,conseiller_des_pêcheurs,1472,Heinrich,Metziger,,,echevinat,corporation_des_pêcheurs,Heinrich,Metziger,,Heinrich Metziger
31,conseiller_des_charrons,1472,Johanns,Spielmann,,,echevinat,corporation_des_charrons,Hans,Spilman,,Hans Spilman
32,conseiller_des_jardiniers,1472,Johanns,Spete,,,echevinat,corporation_des_jardiniers,Hans,Spete,,Hans Spete
33,conseiller_des_tisserands,1472,Claus,Wolle,,,echevinat,corporation_des_tisserands,Claus,Wolle,,Claus Wolle
34,conseiller_des_regrattiers_cordiers_et_fruitiers,1472,Claus,Herbst,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,Claus,Herbst,,Claus Herbst
35,conseiller_des_charpentiers,1472,Jerge,Hüss,,,echevinat,corporation_des_charpentiers,Jerge,Hùse,,Jerge Hùse
36,conseiller_des_maçons,1472,Johanns,Sivester,,,echevinat,corporation_des_maçons,Hans,Silvester,,Hans Silvester
