PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
Adalhelm,Alleaume,"['masc', 'germanique']","['Adalhelm', 'Adelhelm', 'Alhelm']"
Adam,Adam,"['masc', 'hébraïque']",['Adam']
Adolff,Adolphe,"['masc', 'germanique']","['Adolf', 'Adolff']"
Andres,André,"['masc', 'grec']",['Andres']
Anshelm,Anselme,"['masc', 'germanique']",['Anshelm']
Anthenie,Antoine,"['masc', 'latin']","['Anthenie', 'Anthenig', 'Anthenye', 'Anthenige', 'Anthonie', 'Anthonye', 'Anthenÿe', 'Anthonÿe', 'Thenige']"
Arbogast,,"['masc', 'germanique']","['Arbgast', 'Arbogast', 'Ärbgäst']"
Balthazar,Balthazar,"['masc', 'babylonian']",['Balthazar']
Bartholomeus,Barthélémy,"['masc', 'arameen']","['Bartholomeus', 'Bartholemey', 'Bartholome']"
Bechtolt,Bertold,"['masc', 'germanique']","['Behtolt', 'Bechtolt', 'Berhtolt', 'Bahtolt', 'Bertholt', 'Bechtold']"
Behremann,,"['masc', 'germanique']","['Behrmann', 'Behrman', 'Bermann', 'Berman', 'Behremann', 'Bere']"
Bernhart,Bernard,"['masc', 'germanique']","['Bernhart', 'Bernhard', 'Berhart', 'Bernharte']"
Bertsch,,"['masc', 'germanique']",['Bertsch']
Billung,,"['masc', 'germanique']",['Billung']
Blesin,Blaise,"['masc', 'grec']",['Blesin']
Böldemann,,"['masc', 'germanique']","['Boͤldelin', 'Böldemann']"
Burkhart,,"['masc', 'germanique']","['Burkhart', 'Burkhard', 'Burckhart', 'Burckhard', 'Burchart', 'Burchard', 'Burckart', 'Bùrcklin', 'Burcklin', 'Buckart', 'Burckeln', 'Burckel', 'Bürckel', 'Burckelin']"
Caspar,Gaspard,"['masc', 'latin']",['Caspar']
Christian,Christian,"['masc', 'latin']","['Cristian', 'Christian', 'Cristean']"
Claus,Nicolas,"['masc', 'grec']","['Claus', 'Clauwes', 'Claws', 'Niclaus', 'Niclas', 'Claüs', 'Cläus']"
Claus-Friedrich,Nicolas-Frédéric,"['masc', 'compose', 'grec', 'germanique']","['Claus Fridrich', 'Claus-Friedrich', 'Clauß Fridrich', 'Clausfridrich', 'Claus Friderich']"
Diebolt,Thiebault,"['masc', 'germanique']","['Diebolt', 'Diebold', 'Tiebolt', 'Tiebold']"
Dielmann,,"['masc', 'germanique']","['Dielman', 'Dielmann', 'Diel', 'Dielen']"
Diethmar,,"['masc', 'germanique']","['Diemar', 'Diethmar', 'Dietsche']"
Dietrich,Thierry,"['masc', 'franc']","['Dietrich', 'Diethermann', 'Dietherman', 'Dietherich', 'Diethrich', 'Diether', 'Dietterich', 'Dieterich']"
Ebel,,"['masc', 'germanique']",['Ebel']
Eberhart,Éberhard,"['masc', 'germanique']","['Eberhart', 'Eberhard', 'Eberlin']"
Engelhart,,"['masc', 'germanique']",['Engelhart']
Erhart,,"['masc', 'germanique']","['Erhart', 'Erhard']"
Eucharius,Euchaire,"['masc', 'latin']",['Eucharius']
Florentz,Florent,"['masc', 'latin']","['Florentz', 'Florenz']"
Frantz,François,"['masc', 'germanique']","['Frantz', 'Franz', 'Ffrantz', 'Frentzel', 'Frentzil']"
Friedrich,Frédéric,"['masc', 'germanique']","['Friedrich', 'Fridrich', 'Fridel', 'Friedel', 'Friderich', 'Ffriderich', 'Friederich']"
Fritsch,Friedrich,"['masc', 'germanique', 'diminutif']","['Fritsch', 'Fritz', 'Fritze', 'Fritsche']"
Gabriel,Gabriel,"['masc', 'hebrew']",['Gabriel']
Gangolff,,"['masc', 'germanique']",['Gangolff']
Gebhart,,"['masc', 'germanique']","['Gabehert', 'Gabhart']"
Gerbot,,"['masc', 'germanique']","['Gerbot', 'Gerboth', 'Gerbott']"
Gilge,Gilles,"['masc', 'grec']","['Gilge', 'Gilg', 'Gilgue', 'Gilgen']"
Gosse,,"['masc', 'germanique']","['Gosse', 'Goß', 'Goßel']"
Götze,Gottfried,"['masc', 'germanique', 'diminutif']","['Götze', 'Goetze', 'Gotze', 'Götz', 'Gotz', 'Goͤtze', 'Gotzman', 'Gotzel']"
Hannemann,,"['masc', 'germanique']","['Hanman', 'Hannemann', 'Hamman', 'Hanneman', 'Henne']"
Hansekint,,['masc'],['Hansekint']
Hegel,,"['masc', 'germanique']",['Hegel']
Heilmann,,"['masc', 'germanique']","['Heilman', 'Heilmann', 'Heil']"
Heinrich,Henri,"['masc', 'germanique']",['Heinrich']
Heintz,Henri,"['masc', 'germanique', 'diminutif']","['Heintz', 'Heinz', 'Heintzeman', 'Heintzman', 'Heintzel', 'Heintze']"
Heitz,,"['masc', 'germanique']","['Heitzman', 'Heitz']"
Hensel,Jean,"['masc', 'germanique', 'diminutif']","['Hensel', 'Henselin', 'Henß', 'Henseln', 'Hennsel']"
