PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
Adalhelm,Alleaume,"['masc', 'germanique']","['Adalhelm', 'Adelhelm', 'Alhelm']"
Adam,Adam,"['masc', 'hébraïque']",['Adam']
Adolf,Adolphe,"['masc', 'germanique']","['Adolf', 'Adolff']"
Andres,André,"['masc', 'grec']",['Andres']
Anshelm,Anselme,"['masc', 'germanique']",['Anshelm']
Behrmann,,"['masc', 'germanique']","['Behrmann', 'Behrman', 'Bermann', 'Berman']"
Bechtolt,Bertold,"['masc', 'germanique']","['Behtolt', 'Bechtolt']"
Bernhart,Bernard,"['masc', 'germanique']","['Bernhart', 'Bernhard']"
Burkhart,,"['masc', 'germanique']","['Burkhart', 'Burkhard', 'Burckhart', 'Burckhard', 'Burchart', 'Burchard', 'Burckart']"
Claus,Nicolas,"['masc', 'grec']","['Claus', 'Clauwes', 'Claws', 'Niclaus']"
Diebolt,Thiebault,"['masc', 'germanique']","['Diebolt', 'Diebold', 'Tiebolt', 'Tiebold']"
Dietrich,Thierry,"['masc', 'franc']","['Dietrich', 'Diethermann', 'Dietherman', 'Dietherich']"
Eberhart,Éberhard,"['masc', 'germanique']","['Eberhart', 'Eberhard']"
Erhart,,"['masc', 'germanique']","['Erhart', 'Erhard']"
Florentz,Florent,"['masc', 'latin']","['Florentz', 'Florenz']"
Frantz,François,"['masc', 'germanique']","['Frantz', 'Franz']"
Friedrich,Frédéric,"['masc', 'germanique']","['Friedrich', 'Fridrich', 'Fridel', 'Friedel', 'Friderich']"
Fritsch,Friedrich,"['masc', 'germanique', 'diminutif']",['Fritsch']
Gebhart,,"['masc', 'germanique']",['Gabehert']
Gilge,Gilles,"['masc', 'grec']","['Gilge', 'Gilg']"
Götze,Gottfried,"['masc', 'germanique', 'diminutif']","['Götze', 'Goetze', 'Gotze']"
Heinrich,Henri,"['masc', 'germanique']",['Heinrich']
Heintz,Henri,"['masc', 'germanique', 'diminutif']","['Heintz', 'Heinz', 'Heintzeman']"
Hensel,Jean,"['masc', 'germanique', 'diminutif']","['Hensel', 'Henselin']"
Herzog,,"['masc', 'germanique']","['Herzog', 'Hertzog']"
Hirtz,,"['masc', 'germanique']",['Hirtz']
Hug,Hugues,"['masc', 'germanique']",['Hug']
Jacob,Jacob,"['masc', 'hébraïque']","['Jacob', 'Jacop', 'Jakob', 'Jakop']"
Jeckel,Jacques,"['masc', 'hébreux']",['Jeckel']
Jerge,Georges,"['masc', 'grec']","['Jerge', 'Jörge']"
Johann,Jean,"['masc', 'hébraïque']","['Johann', 'Johan', 'Johanns', 'Johans', 'Hanns', 'Hans', 'Hanseman']"
Jost,Juste,"['masc', 'latin']",['Jost']
Konrat,Konrad,"['masc', 'germanique']","['Konrad', 'Konradt', 'Konrat', 'Cünrat', 'Cünrad', 'Conrat', 'Conrad']"
Kraft,,"['masc', 'germanique']","['Kraft', 'Krafft', 'Craft']"
Kühne,,"['masc', 'germanique']","['Kühne', 'Küne', 'Cüne']"
Küntz,Konrad,"['masc', 'germanique', 'diminutif']","['Küntz', 'Cüntz', 'Cüntzel', 'Cuentz', 'Cuentzel', 'Cüntze', 'Cuentze']"
Kürin,,"['masc', 'germanique']",['Kürin']
Lauwel,Nicolas,"['masc', 'latin', 'diminutif']","['Lauwel', 'Lauwelin', 'Lawel', 'Lawelin', 'Laulin']"
Lentz,Laurent,"['masc', 'latin']",['Lentzel']
Lienhart,Léonard,"['masc', 'germanique']","['Lienhart', 'Lienhard', 'Leonhart', 'Leonhard']"
Ludwig,Louis,"['masc', 'germanique']","['Ludwig', 'Ludeman']"
Lütholt,Léopold,"['masc', 'germanique']","['Lütholt', 'Lüthold', 'Lütolt', 'Lütold', 'Lütoltz']"
Martin,Martin,"['masc', 'latin']",['Martin']
Martzolf,Marcel,"['masc', 'latin']","['Martzolf', 'Martzolff', 'Marzolf', 'Marzolff']"
Marx,Marc,"['masc', 'latin']",['Marx']
Mathis,Mathis,"['masc', 'hébraïque']",['Mathis']
Männel,,"['masc', 'germanique', 'diminutif']",['Mennel']
Mertz,,"['masc', 'germanique']",['Mertz']
Michel,Michel,"['masc', 'hébraïque']",['Michel']
Monschein,,"['masc', 'germanique']","['Monschein', 'Monschin']"
Oberlin,,"['masc', 'germanique']",['Oberlin']
Obrecht,Albert,"['masc', 'germanique']","['Obrecht', 'Obreht']"
Oswalt,Oswald,"['masc', 'germanique']","['Ohswalt', 'Oswalt']"
Ortlieb,,"['masc', 'germanique']","['Ortlieb', 'Ortliep', 'Örtel', 'Oertel']"
Ottman,Ottfried,"['masc', 'germanique']","['Ottman', 'Ottfried', 'Otman', 'Otfried']"
Pantheleon,Pantéléon,"['masc', 'grec']","['Pantheleon', 'Panteleon']"
Peter,Pierre,"['masc', 'grec']",['Peter']
